PCF ID,Hierarchy ID,Name,Metrics available?
10002,1,Develop District Vision and Strategy,Y
17040,1.1,Define the district context and long-term vision,N
10017,1.1.1,Assess the external environment,Y
10021,1.1.1.1,"Analyze and evaluate competition (surrounding districts, private and charter schools, virtual schools, etc.)",N
10022,1.1.1.2,"Identify economic trends (tax base, revenue, state/federal funding and grants)",N
10023,1.1.1.3,Identify political and regulatory issues,N
10024,1.1.1.4,"Assess new technology innovations (instructional, administrative, and operational)",N
10025,1.1.1.5,Analyze demographics,N
10026,1.1.1.6,Identify social and cultural changes,N
10027,1.1.1.7,Identify ecological concerns,N
16790,1.1.1.8,Identify intellectual property concerns,N
16791,1.1.1.9,Evaluate IP acquisition options,N
10018,1.1.2,Survey stakeholders and determine customer needs and requirements,Y
10028,1.1.2.1,Conduct qualitative/quantitative assessments,N
19946,1.1.2.2,Capture student and stakeholder needs,N
19947,1.1.2.3,Assess student and stakeholder needs,N
10019,1.1.3,"Conduct internal analysis of educational programs, support, and operation services",N
10030,1.1.3.1,Analyze organizational characteristics,N
19948,1.1.3.2,Analyze internal operations,N
10031,1.1.3.3,Create baselines for current processes,N
10032,1.1.3.4,Analyze systems and technology,N
10033,1.1.3.5,Analyze financial health,N
10034,1.1.3.6,Identify (district) core competencies,N
10020,1.1.4,Establish strategic vision,N
19949,1.1.4.1,Define the strategic vision,N
10035,1.1.4.2,Align stakeholders around strategic vision,N
10036,1.1.4.3,Communicate strategic vision to stakeholders,N
10015,1.2,Develop district strategy,N
10037,1.2.1,Develop overall mission statement,N
10044,1.2.1.1,Define current business,N
10045,1.2.1.2,Formulate mission,N
10046,1.2.1.3,Communicate mission,N
10038,1.2.2,Define and evaluate strategic options to achieve the objectives,N
10047,1.2.2.1,Define strategic options,N
18083,1.2.2.1.1,Select partnerships and relationships to support the extended enterprise,N
10048,1.2.2.2,Assess and analyze impact of each option,N
13289,1.2.2.2.1,Identify implications for key operating model business elements that require change,N
13290,1.2.2.2.2,Identify implications for key technology aspects,N
14189,1.2.2.3,Develop sustainability strategy,N
19951,1.2.2.4,Develop shared services strategy,N
14197,1.2.2.5,Develop lean/continuous improvement strategy,N
10039,1.2.3,Select long-term district strategy,N
10040,1.2.4,Coordinate and align functional and process strategies,N
10041,1.2.5,Create organizational design,N
10049,1.2.5.1,Evaluate breadth and depth of district organizational structure,N
20187,1.2.5.2,Evaluate operations and instructional staffing needs,N
10055,1.2.5.3,Assess organizational implication of staffing,N
10042,1.2.6,Develop and set district goals,N
19953,1.2.6.1,Identify organizational goals,N
19954,1.2.6.2,Establish baseline metrics,N
20188,1.2.6.3,Seek Board of Trustee approval of strategy and strategic plan,N
20189,1.2.6.4,Communicate and share strategic plan with all staff,N
20190,1.2.6.5,Train employees on strategic plan and alignment with department and campus plans,N
20191,1.2.6.6,Post Strategic Plan to website,N
10043,1.2.7,Formulate department and campus strategies,N
19956,1.2.7.1,Analyze department and campus strategies to district,N
10016,1.3,Execute and measure strategic initiatives,N
10057,1.3.1,Develop strategic initiatives,N
10058,1.3.2,Evaluate strategic initiatives,N
10059,1.3.3,Select strategic initiatives,N
10060,1.3.4,Establish high-level performance measures,N
19983,1.3.4.1,Develop district scorecards to monitor and report performance,N
19984,1.3.4.2,Align department and campus performance measures to district level measures,N
20944,1.4,Develop and maintain business models,N
20945,1.4.1,Develop business models,N
20946,1.4.1.1,Assemble business model information,N
20947,1.4.1.2,Secure appropriate approvals,N
20948,1.4.1.3,Identify integration points with existing models,N
20949,1.4.1.4,Adopt the business model,N
20950,1.4.2,Maintain business models,N
20951,1.4.2.1,Establish business model maintenance parameters,N
20952,1.4.2.2,Accept business model feedback parameters,N
20953,1.4.2.3,Prioritize and manage incoming feedback,N
20954,1.4.2.4,Update existing models,N
20955,1.4.3,Establish business model governance,N
20192,2,"Develop, Deliver, and Assess Curriculum, Assessment, and Instruction",N
20193,2.1,Develop curriculum,N
20194,2.1.1,Define/Design curriculum development procedures,N
20195,2.1.2,Align with federal/state/local standards,N
20196,2.1.2.1,Align with content standards developed by national organizations,N
20197,2.1.2.2,Align to assessment performance standards,N
20198,2.1.2.3,Ensure horizontal and vertical curriculum alignment,N
20199,2.1.2.4,Identify and review best practice research,N
20200,2.1.3,Provide for key customer and stakeholder input,N
