src,dst,rel
571,1025,subClassOf
541,571,subClassOf
13530,541,subClassOf
8924,13530,subClassOf
12264,13530,subClassOf
9730,12264,subClassOf
8086,12264,subClassOf
8713,541,subClassOf
8713,8713,subClassOf
12180,8713,subClassOf
5448,8713,subClassOf
9175,5448,subClassOf
1272,5448,subClassOf
6663,5448,subClassOf
1861,5448,subClassOf
606,541,subClassOf
4466,606,subClassOf
12306,4466,subClassOf
13504,4466,subClassOf
5811,4466,subClassOf
10028,606,subClassOf
7996,606,subClassOf
3293,7996,subClassOf
11056,3293,subClassOf
6440,3293,subClassOf
6232,606,subClassOf
9113,6232,subClassOf
3054,6232,subClassOf
949,541,subClassOf
3400,541,subClassOf
7560,3400,subClassOf
4578,3400,subClassOf
5787,4578,subClassOf
5633,4578,subClassOf
1794,3400,subClassOf
962,3400,subClassOf
5294,3400,subClassOf
4844,571,subClassOf
10625,4844,subClassOf
11413,10625,subClassOf
12226,4844,subClassOf
10920,12226,subClassOf
10389,10920,subClassOf
13127,12226,subClassOf
12248,13127,subClassOf
8253,13127,subClassOf
1526,13127,subClassOf
9768,1526,subClassOf
655,1526,subClassOf
