src,dst,rel
1192,249,subClassOf
7389,1192,subClassOf
5717,1192,subClassOf
3564,1192,subClassOf
11737,249,subClassOf
12337,11737,subClassOf
12016,11737,subClassOf
7182,11737,subClassOf
3533,249,subClassOf
10566,3533,subClassOf
7498,3533,subClassOf
8385,3533,subClassOf
10021,3533,subClassOf
12775,3533,subClassOf
10513,3533,subClassOf
9717,3533,subClassOf
3470,3533,subClassOf
950,3533,subClassOf
4023,249,subClassOf
8506,4023,subClassOf
11730,4023,subClassOf
8416,4023,subClassOf
9029,4023,subClassOf
12255,4023,subClassOf
9439,4023,subClassOf
8788,4023,subClassOf
2766,4023,subClassOf
5733,4023,subClassOf
5364,4023,subClassOf
6445,4023,subClassOf
1843,4023,subClassOf
1617,4023,subClassOf
4743,4023,subClassOf
4602,4023,subClassOf
5315,4023,subClassOf
6379,4023,subClassOf
3995,249,subClassOf
10031,3995,subClassOf
9010,3995,subClassOf
9062,3995,subClassOf
2819,3995,subClassOf
3035,3995,subClassOf
3289,3995,subClassOf
2176,3995,subClassOf
3307,249,subClassOf
9283,3307,subClassOf
8425,3307,subClassOf
13629,3307,subClassOf
3506,3307,subClassOf
3071,3307,subClassOf
3971,3307,subClassOf
4124,3307,subClassOf
2818,3307,subClassOf
5694,249,subClassOf
9133,5694,subClassOf
9058,5694,subClassOf
9046,5694,subClassOf
12703,5694,subClassOf
4970,5694,subClassOf
3058,5694,subClassOf
3374,5694,subClassOf
959,249,subClassOf
209,959,subClassOf
5085,959,subClassOf
2861,959,subClassOf
1615,959,subClassOf
1713,959,subClassOf
4005,959,subClassOf
5447,959,subClassOf
3025,959,subClassOf
5719,959,subClassOf
6326,959,subClassOf
1337,959,subClassOf
1352,959,subClassOf
5408,959,subClassOf
963,959,subClassOf
1965,959,subClassOf
5337,959,subClassOf
3197,959,subClassOf
864,959,subClassOf
1156,249,subClassOf
2653,1156,subClassOf
3029,1156,subClassOf
4417,1156,subClassOf
1297,1156,subClassOf
1345,1156,subClassOf
