src,dst,rel
3016,214,subClassOf
6249,3016,subClassOf
2062,6249,subClassOf
4302,2062,subClassOf
5375,6249,subClassOf
5307,5375,subClassOf
554,5307,subClassOf
3443,5307,subClassOf
4090,3443,subClassOf
2534,5307,subClassOf
4389,5307,subClassOf
3424,4389,subClassOf
2295,4389,subClassOf
7594,2295,subClassOf
12811,2295,subClassOf
6197,2295,subClassOf
2004,2295,subClassOf
3036,2295,subClassOf
2777,2295,subClassOf
1791,2295,subClassOf
5470,2295,subClassOf
3162,5470,subClassOf
3266,5470,subClassOf
1271,2295,subClassOf
10295,5375,subClassOf
5010,5375,subClassOf
5009,5010,subClassOf
551,5009,subClassOf
11131,551,subClassOf
9086,551,subClassOf
1325,551,subClassOf
10941,5009,subClassOf
3042,5009,subClassOf
9184,3042,subClassOf
5007,6249,subClassOf
3043,5007,subClassOf
2844,3043,subClassOf
4861,2844,subClassOf
9671,4861,subClassOf
5418,4861,subClassOf
6695,2844,subClassOf
572,2844,subClassOf
5400,2844,subClassOf
5398,2844,subClassOf
5121,2844,subClassOf
310,3043,subClassOf
1890,310,subClassOf
1725,310,subClassOf
5745,6249,subClassOf
2432,5745,subClassOf
4022,5745,subClassOf
3482,4022,subClassOf
11682,3482,subClassOf
8015,11682,subClassOf
13508,11682,subClassOf
12245,13508,subClassOf
9997,11682,subClassOf
927,3482,subClassOf
4580,927,subClassOf
3583,927,subClassOf
621,927,subClassOf
2403,927,subClassOf
3940,4022,subClassOf
4468,4022,subClassOf
11842,4468,subClassOf
5292,4468,subClassOf
2473,5292,subClassOf
6250,5292,subClassOf
6159,4468,subClassOf
3563,4468,subClassOf
6092,5745,subClassOf
9156,6092,subClassOf
5107,6092,subClassOf
590,6092,subClassOf
968,5745,subClassOf
4207,968,subClassOf
550,4207,subClassOf
5755,4207,subClassOf
232,968,subClassOf
5815,968,subClassOf
12229,5815,subClassOf
974,968,subClassOf
4043,968,subClassOf
979,968,subClassOf
11195,979,subClassOf
961,979,subClassOf
6081,3016,subClassOf
3187,6081,subClassOf
260,3187,subClassOf
10534,260,subClassOf
6571,260,subClassOf
3070,260,subClassOf
246,3070,subClassOf
6312,3070,subClassOf
1057,260,subClassOf
3014,260,subClassOf
1893,3187,subClassOf
8762,1893,subClassOf
6168,1893,subClassOf
5006,6168,subClassOf
7511,5006,subClassOf
4324,5006,subClassOf
528,6168,subClassOf
11282,528,subClassOf
8053,528,subClassOf
2765,528,subClassOf
5017,1893,subClassOf
9324,5017,subClassOf
4862,5017,subClassOf
1314,5017,subClassOf
5871,5017,subClassOf
1348,5017,subClassOf
570,3187,subClassOf
3048,3187,subClassOf
11019,3048,subClassOf
5814,3048,subClassOf
5750,3048,subClassOf
5423,3187,subClassOf
6257,5423,subClassOf
5083,6257,subClassOf
2640,6257,subClassOf
1341,5423,subClassOf
1322,3016,subClassOf
6743,1322,subClassOf
5708,6743,subClassOf
8447,5708,subClassOf
7075,8447,subClassOf
10749,8447,subClassOf
358,5708,subClassOf
1349,5708,subClassOf
1792,5708,subClassOf
538,5708,subClassOf
5749,5708,subClassOf
573,5708,subClassOf
5406,1322,subClassOf
11735,5406,subClassOf
11721,11735,subClassOf
3124,11735,subClassOf
12806,3124,subClassOf
4495,3124,subClassOf
5790,5406,subClassOf
9525,5790,subClassOf
5021,5790,subClassOf
231,5790,subClassOf
5641,231,subClassOf
2881,231,subClassOf
