id,name,uri
214,FinancialServicesOntology,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#FinancialServicesOntology
3016,Financials,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#Financials
6249,DiversifiedFinancials,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#DiversifiedFinancials
2062,MortgageRealEstateInvestmentTrusts(REITs),http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#MortgageRealEstateInvestmentTrusts(REITs)
4302,MortgageREITs,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#MortgageREITs
5375,DiversifiedFinancialServices,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#DiversifiedFinancialServices
5307,SpecializedFinance,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#SpecializedFinance
554,CreditUnions,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#CreditUnions
3443,CentralReserveDepositoryInstitutions,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#CentralReserveDepositoryInstitutions
4090,FederalReserveBanks,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#FederalReserveBanks
2534,DevelopmentBanks,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#DevelopmentBanks
4389,CreditAgencies,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#CreditAgencies
3424,FederalandFederally-SponsoredCreditAgencies,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#FederalandFederally-SponsoredCreditAgencies
2295,BusinessCreditAgencies,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#BusinessCreditAgencies
7594,Short-TermBusinessCreditAgencies,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#Short-TermBusinessCreditAgencies
12811,SecondaryMarketFinancing,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#SecondaryMarketFinancing
6197,BusinessCreditCardServices,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#BusinessCreditCardServices
2004,ContractFinancing,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#ContractFinancing
3036,BusinessTradeBanks,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#BusinessTradeBanks
2777,BusinessSalesFinance,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#BusinessSalesFinance
1791,FarmMortgageCompanies,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#FarmMortgageCompanies
5470,FinanceLeasing,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#FinanceLeasing
3162,FinanceLeasingCombinedWithSalesFinancing,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#FinanceLeasingCombinedWithSalesFinancing
3266,FinanceLeasingCombinedWithLoanMaking,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#FinanceLeasingCombinedWithLoanMaking
1271,CommercialDigitalLending,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#CommercialDigitalLending
10295,OtherDiversifiedFinancialServices,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#OtherDiversifiedFinancialServices
5010,Multi-SectorHoldings,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#Multi-SectorHoldings
5009,InvestmentServicesandHoldingCompanies,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#InvestmentServicesandHoldingCompanies
551,Trusts,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#Trusts
11131,"Educational,Religious,andCharitableTrusts","http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#Educational,Religious,andCharitableTrusts"
9086,TrustManagers,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#TrustManagers
1325,AdministratorsOfPrivateEstates,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#AdministratorsOfPrivateEstates
10941,PatentOwnersandLessors,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#PatentOwnersandLessors
3042,HoldingCompanies,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#HoldingCompanies
9184,OfficesOfBankHoldingCompanies,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#OfficesOfBankHoldingCompanies
5007,ConsumerFinance,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#ConsumerFinance
3043,ConsumerFinancel3,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#ConsumerFinancel3
2844,PersonalCreditAgencies,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#PersonalCreditAgencies
4861,PersonalLoanServices,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#PersonalLoanServices
9671,StudentLoans,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#StudentLoans
5418,CarLoans,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#CarLoans
6695,InstallmentSalesFinancing,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#InstallmentSalesFinancing
572,IndustrialNon-DepositBanks,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#IndustrialNon-DepositBanks
5400,CreditCardandCheckValidationServices,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#CreditCardandCheckValidationServices
5398,CreditCardIssuingPersonalCreditInstitutions,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#CreditCardIssuingPersonalCreditInstitutions
5121,ConsumerDigitalLending,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#ConsumerDigitalLending
310,FundsTransferandExchangeServices,http://www.semanticweb.org/ektao/ontologies/2021/3/MinervaOntology#FundsTransferandExchangeServices
