src,dst,rel
1039,1286,subClassOf
666,1039,subClassOf
2824,666,subClassOf
12941,2824,subClassOf
618,2824,subClassOf
11183,618,subClassOf
7526,618,subClassOf
12257,618,subClassOf
1803,618,subClassOf
3022,618,subClassOf
1494,618,subClassOf
5011,618,subClassOf
603,618,subClassOf
536,618,subClassOf
6536,618,subClassOf
3545,618,subClassOf
12389,3545,subClassOf
2973,3545,subClassOf
576,3545,subClassOf
1405,3545,subClassOf
9202,2824,subClassOf
12965,2824,subClassOf
12745,2824,subClassOf
8629,2824,subClassOf
2824,2824,subClassOf
10026,2824,subClassOf
2228,2824,subClassOf
5316,666,subClassOf
5316,5316,subClassOf
3125,666,subClassOf
11781,3125,subClassOf
8441,3125,subClassOf
7453,3125,subClassOf
5522,3125,subClassOf
5390,3125,subClassOf
3125,3125,subClassOf
4502,3125,subClassOf
6246,3125,subClassOf
2575,3125,subClassOf
1793,3125,subClassOf
546,3125,subClassOf
220,546,subClassOf
923,3125,subClassOf
5761,3125,subClassOf
3820,1039,subClassOf
3053,3820,subClassOf
5392,3053,subClassOf
9079,5392,subClassOf
8409,9079,subClassOf
8978,9079,subClassOf
12233,9079,subClassOf
3044,5392,subClassOf
7988,3044,subClassOf
9454,3044,subClassOf
10416,3044,subClassOf
6749,3044,subClassOf
8014,3044,subClassOf
10022,3044,subClassOf
10085,3044,subClassOf
1340,3044,subClassOf
4125,3044,subClassOf
5383,3044,subClassOf
5022,3044,subClassOf
532,3044,subClassOf
5775,5392,subClassOf
9284,5775,subClassOf
9134,5775,subClassOf
5715,3053,subClassOf
10033,5715,subClassOf
9212,10033,subClassOf
12791,10033,subClassOf
10207,10033,subClassOf
6234,5715,subClassOf
4656,5715,subClassOf
9994,4656,subClassOf
4467,4656,subClassOf
640,5715,subClassOf
9741,640,subClassOf
2202,640,subClassOf
1833,640,subClassOf
3305,640,subClassOf
4486,640,subClassOf
545,640,subClassOf
6266,640,subClassOf
207,640,subClassOf
518,5715,subClassOf
5002,5715,subClassOf
12363,5002,subClassOf
3910,5715,subClassOf
8448,3910,subClassOf
8824,3910,subClassOf
11650,3910,subClassOf
8546,3910,subClassOf
12045,3910,subClassOf
12934,3910,subClassOf
9014,3910,subClassOf
2275,3910,subClassOf
4919,3910,subClassOf
5698,3910,subClassOf
5784,5715,subClassOf
8805,5784,subClassOf
4504,5784,subClassOf
309,5784,subClassOf
3032,3053,subClassOf
10123,3032,subClassOf
2191,3032,subClassOf
12388,2191,subClassOf
5025,2191,subClassOf
1268,3053,subClassOf
8967,1268,subClassOf
1897,1268,subClassOf
2821,3820,subClassOf
2821,2821,subClassOf
1240,2821,subClassOf
6258,3820,subClassOf
3694,6258,subClassOf
11190,3694,subClassOf
6290,3694,subClassOf
11818,6290,subClassOf
12259,6290,subClassOf
10761,6290,subClassOf
8602,6290,subClassOf
12228,6290,subClassOf
853,6290,subClassOf
8273,853,subClassOf
5084,853,subClassOf
2990,6290,subClassOf
3037,6290,subClassOf
5523,6290,subClassOf
4497,6290,subClassOf
2245,6290,subClassOf
997,6290,subClassOf
3757,6290,subClassOf
548,6290,subClassOf
3375,6290,subClassOf
1880,6290,subClassOf
4794,6290,subClassOf
537,3694,subClassOf
7688,537,subClassOf
912,537,subClassOf
531,537,subClassOf
12939,531,subClassOf
7328,531,subClassOf
6158,531,subClassOf
3732,531,subClassOf
3030,537,subClassOf
903,537,subClassOf
616,537,subClassOf
10594,616,subClassOf
3992,616,subClassOf
8492,3992,subClassOf
10782,3992,subClassOf
2201,3992,subClassOf
5387,616,subClassOf
6260,5387,subClassOf
4552,616,subClassOf
2828,4552,subClassOf
3040,3694,subClassOf
5437,3694,subClassOf
6254,3694,subClassOf
5779,6254,subClassOf
11595,5779,subClassOf
1342,5779,subClassOf
6349,5779,subClassOf
12748,6254,subClassOf
458,6254,subClassOf
5388,3694,subClassOf
8457,5388,subClassOf
8419,5388,subClassOf
7119,5388,subClassOf
8901,7119,subClassOf
13467,7119,subClassOf
2813,5388,subClassOf
7096,2813,subClassOf
5742,2813,subClassOf
1962,6258,subClassOf
3889,1962,subClassOf
264,3889,subClassOf
4500,3889,subClassOf
5881,3889,subClassOf
1614,1962,subClassOf
7106,1614,subClassOf
3959,1614,subClassOf
2792,1614,subClassOf
5706,1614,subClassOf
4992,1614,subClassOf
5931,1614,subClassOf
977,1614,subClassOf
233,1614,subClassOf
2151,1614,subClassOf
2687,1962,subClassOf
12271,2687,subClassOf
13402,2687,subClassOf
3546,2687,subClassOf
2177,2687,subClassOf
2822,2687,subClassOf
