PCF ID,Hierarchy ID,Name,Difference Index,Change details,Metrics available?
10002,1,Develop Vision and Strategy,80,"+20944, c10016",Y
17040,1.1,Define the long-term vision and values,16,"c18760, c10019",N
18757,1.1.1,Assess the external environment,4,"+19945, +16790, +16791, c10022",N
18758,1.1.1.1,Define and prioritize Service Areas,0,,N
18759,1.1.1.2,"Determine market share, patient origin, and outmigration",0,,N
19945,1.1.1.3,Identify competitors,1,NEW,N
10021,1.1.1.4,Analyze and evaluate competition,0,,N
10022,1.1.1.5,Identify economic trends,1,"RENAME, WAS:Identify economic and industry trends",N
10023,1.1.1.6,Identify political and regulatory issues,0,,N
10024,1.1.1.7,Assess new technology innovations,0,,N
10025,1.1.1.8,Analyze demographics,0,,N
10026,1.1.1.9,Identify social and cultural changes,0,,N
10027,1.1.1.10,Identify ecological concerns,0,,N
16790,1.1.1.11,Identify intellectual property concerns,1,NEW,N
16791,1.1.1.12,Evaluate IP acquisition options,1,NEW,N
18760,1.1.2,Survey market and determine customer needs and wants,5,"+19946, +19947, -10029, c10028, RENAME, WAS:Survey market and determine community's needs, wants, and perceptions of provider",N
10028,1.1.2.1,Conduct qualitative/quantitative research and assessments,1,"RENAME, WAS:Conduct qualitative/quantitative assessments",N
19946,1.1.2.2,Capture customer needs and wants,1,NEW,N
19947,1.1.2.3,Assess customer needs and wants,1,NEW,N
18761,1.1.2.4,Analyze service area utilization,0,,N
18762,1.1.2.5,Project community medical demand,0,,N
18763,1.1.2.6,Apply and obtain certificate of need,0,,N
10019,1.1.3,Assess the internal environment,6,"+19948, c10033, c10034, c18765, c18768, RENAME, WAS:Perform internal analysis",N
10030,1.1.3.1,Analyze organizational characteristics,0,,N
19948,1.1.3.2,Analyze internal operations,1,NEW,N
10031,1.1.3.3,Create baselines for current processes,0,,N
18764,1.1.3.4,Evaluate operational trends,0,,N
10032,1.1.3.5,Analyze systems and technology,0,,N
10033,1.1.3.6,Analyze financial health,1,"RENAME, WAS:Analyze financial positions",N
10034,1.1.3.7,Identify core competencies,1,"RENAME, WAS:Identify enterprise core competencies",N
18765,1.1.3.8,Determine the adequacy of access to care,1,"RENAME, WAS:Determine the adequancy of access to care",N
18766,1.1.3.9,Determine the efficiency and effectiveness of care delivered,0,,N
18767,1.1.3.10,Analyze services referred to an outside provider organization,0,,N
18768,1.1.3.11,Analyze provider utilization rates,1,"RENAME, WAS:Analyze provider utlization rates",N
18769,1.1.3.12,Project service line demand,0,,N
18770,1.1.3.13,"Determine staff needs (e.g., clinical, administrative, etc.)",0,,N
18771,1.1.3.13.1,Review current skillsets,0,,N
18772,1.1.3.13.2,Determine skillset gaps,0,,N
10020,1.1.4,Establish strategic vision,1,+19949,N
19949,1.1.4.1,Define the strategic vision,1,NEW,N
10035,1.1.4.2,Align stakeholders around strategic vision,0,,N
10036,1.1.4.3,Communicate strategic vision to stakeholders,0,,N
