src,dst,rel
1687,3291,subClassOf
1748,1687,subClassOf
11801,1748,subClassOf
8712,1748,subClassOf
10543,1748,subClassOf
1466,1748,subClassOf
4021,1748,subClassOf
1267,1748,subClassOf
2528,1687,subClassOf
2842,2528,subClassOf
11659,2842,subClassOf
7755,2842,subClassOf
12446,2842,subClassOf
8804,2842,subClassOf
11184,2842,subClassOf
5710,2842,subClassOf
1338,2842,subClassOf
10135,2528,subClassOf
8667,2528,subClassOf
9480,8667,subClassOf
1921,2528,subClassOf
12059,1921,subClassOf
7186,1921,subClassOf
6269,1921,subClassOf
5232,1921,subClassOf
3250,1921,subClassOf
4498,1921,subClassOf
6255,1921,subClassOf
3050,2528,subClassOf
206,3050,subClassOf
3308,3050,subClassOf
5397,3050,subClassOf
4949,3050,subClassOf
4501,1687,subClassOf
544,4501,subClassOf
6863,544,subClassOf
10612,544,subClassOf
6739,544,subClassOf
10539,544,subClassOf
7419,544,subClassOf
9223,544,subClassOf
9214,544,subClassOf
11196,544,subClassOf
12262,544,subClassOf
12320,544,subClassOf
7507,544,subClassOf
9829,544,subClassOf
6724,544,subClassOf
4988,544,subClassOf
4999,544,subClassOf
3622,544,subClassOf
6267,544,subClassOf
2903,544,subClassOf
5023,544,subClassOf
13559,4501,subClassOf
7521,4501,subClassOf
1364,4501,subClassOf
3520,4501,subClassOf
5752,4501,subClassOf
9749,5752,subClassOf
11182,5752,subClassOf
6233,5752,subClassOf
533,1687,subClassOf
9185,533,subClassOf
7340,533,subClassOf
9631,533,subClassOf
2827,533,subClassOf
1747,533,subClassOf
12024,1747,subClassOf
8442,1747,subClassOf
7987,1747,subClassOf
432,533,subClassOf
11940,432,subClassOf
11585,432,subClassOf
7707,432,subClassOf
11699,432,subClassOf
597,533,subClassOf
11041,3291,subClassOf
11693,11041,subClassOf
9991,11693,subClassOf
12803,11693,subClassOf
12263,12803,subClassOf
7363,12803,subClassOf
4033,11693,subClassOf
9314,4033,subClassOf
12508,4033,subClassOf
11062,4033,subClassOf
12244,4033,subClassOf
3105,4033,subClassOf
2772,3105,subClassOf
8440,2772,subClassOf
6734,2772,subClassOf
1344,2772,subClassOf
2178,2772,subClassOf
12779,3105,subClassOf
5391,3105,subClassOf
7352,5391,subClassOf
9205,5391,subClassOf
990,5391,subClassOf
4488,5391,subClassOf
6646,5391,subClassOf
5003,3105,subClassOf
5003,5003,subClassOf
10867,5003,subClassOf
641,5003,subClassOf
1790,5003,subClassOf
1306,5003,subClassOf
964,3105,subClassOf
960,4033,subClassOf
4551,11693,subClassOf
11244,4551,subClassOf
9015,4551,subClassOf
12832,4551,subClassOf
6267,4551,subClassOf
3552,11693,subClassOf
10023,3552,subClassOf
6062,3552,subClassOf
1918,11041,subClassOf
5166,1918,subClassOf
10768,5166,subClassOf
10030,5166,subClassOf
4026,5166,subClassOf
12719,1918,subClassOf
1796,1918,subClassOf
7989,1796,subClassOf
9088,1796,subClassOf
13460,1796,subClassOf
3924,1796,subClassOf
2829,1796,subClassOf
6265,1796,subClassOf
1150,1796,subClassOf
1895,1918,subClassOf
9867,1895,subClassOf
5867,1895,subClassOf
7070,5867,subClassOf
3185,5867,subClassOf
965,5867,subClassOf
203,5867,subClassOf
4019,5867,subClassOf
4994,5867,subClassOf
957,5867,subClassOf
192,11041,subClassOf
4726,192,subClassOf
8501,4726,subClassOf
8771,4726,subClassOf
604,4726,subClassOf
3567,4726,subClassOf
1679,192,subClassOf
2100,1679,subClassOf
972,192,subClassOf
3997,972,subClassOf
10322,3997,subClassOf
12736,3997,subClassOf
9723,3997,subClassOf
9081,3997,subClassOf
295,3997,subClassOf
2340,3997,subClassOf
5052,3997,subClassOf
7709,5052,subClassOf
398,5052,subClassOf
3026,398,subClassOf
9377,3026,subClassOf
7169,3026,subClassOf
589,3026,subClassOf
4503,3026,subClassOf
5420,3026,subClassOf
6688,398,subClassOf
8767,6688,subClassOf
9258,6688,subClassOf
10702,6688,subClassOf
204,6688,subClassOf
3521,398,subClassOf
4917,398,subClassOf
8912,4917,subClassOf
11133,4917,subClassOf
5008,4917,subClassOf
4527,4917,subClassOf
340,5052,subClassOf
3151,5052,subClassOf
7913,3151,subClassOf
9964,3151,subClassOf
6718,3151,subClassOf
3866,3151,subClassOf
8968,3866,subClassOf
9073,3866,subClassOf
10296,3866,subClassOf
6261,3866,subClassOf
882,3151,subClassOf
3034,5052,subClassOf
5776,5052,subClassOf
8030,5776,subClassOf
557,5052,subClassOf
13424,557,subClassOf
10484,557,subClassOf
4993,557,subClassOf
1946,557,subClassOf
5748,557,subClassOf
1781,972,subClassOf
9398,1781,subClassOf
530,1781,subClassOf
5037,972,subClassOf
8789,5037,subClassOf
1534,5037,subClassOf
8706,1534,subClassOf
6063,1534,subClassOf
5421,1534,subClassOf
3003,1534,subClassOf
5758,5037,subClassOf
1192,5758,subClassOf
7389,1192,subClassOf
5717,1192,subClassOf
3564,1192,subClassOf
1116,5037,subClassOf
6629,5037,subClassOf
11782,6629,subClassOf
12805,6629,subClassOf
3105,192,subClassOf
5013,192,subClassOf
8940,5013,subClassOf
967,5013,subClassOf
1920,5013,subClassOf
5003,11041,subClassOf
5016,3291,subClassOf
4511,5016,subClassOf
2595,4511,subClassOf
9468,2595,subClassOf
10769,2595,subClassOf
13315,2595,subClassOf
978,2595,subClassOf
3947,4511,subClassOf
10629,3947,subClassOf
12258,3947,subClassOf
12687,3947,subClassOf
11899,3947,subClassOf
8138,3947,subClassOf
5692,3947,subClassOf
543,5692,subClassOf
5393,3947,subClassOf
4950,5393,subClassOf
9830,4950,subClassOf
11615,4950,subClassOf
12232,4950,subClassOf
8562,4950,subClassOf
3532,4950,subClassOf
10270,5393,subClassOf
218,5393,subClassOf
5752,5393,subClassOf
7761,3947,subClassOf
5019,3947,subClassOf
535,3947,subClassOf
8877,535,subClassOf
9259,535,subClassOf
5354,535,subClassOf
5732,535,subClassOf
969,4511,subClassOf
8564,969,subClassOf
8122,969,subClassOf
5440,969,subClassOf
5004,969,subClassOf
318,4511,subClassOf
10470,318,subClassOf
517,318,subClassOf
3493,318,subClassOf
2701,318,subClassOf
517,4511,subClassOf
2701,4511,subClassOf
3015,5016,subClassOf
12110,3015,subClassOf
13465,3015,subClassOf
3031,3015,subClassOf
7026,3031,subClassOf
8469,3031,subClassOf
4033,3031,subClassOf
6444,3031,subClassOf
8326,6444,subClassOf
3069,6444,subClassOf
4560,3031,subClassOf
12807,4560,subClassOf
6720,4560,subClassOf
7130,4560,subClassOf
6790,4560,subClassOf
2916,4560,subClassOf
4241,4560,subClassOf
2764,4560,subClassOf
5070,3031,subClassOf
3059,3031,subClassOf
3020,3031,subClassOf
4940,3031,subClassOf
6248,3031,subClassOf
3825,3031,subClassOf
1114,3031,subClassOf
4376,3031,subClassOf
3295,3031,subClassOf
1114,3015,subClassOf
5666,5016,subClassOf
7381,5666,subClassOf
12808,7381,subClassOf
2478,5666,subClassOf
5868,2478,subClassOf
8452,5666,subClassOf
5762,5666,subClassOf
1651,5666,subClassOf
10592,1651,subClassOf
218,1651,subClassOf
2654,5666,subClassOf
5015,2654,subClassOf
1241,2654,subClassOf
5816,5666,subClassOf
12558,5816,subClassOf
12356,5816,subClassOf
6259,5816,subClassOf
542,5816,subClassOf
1809,5666,subClassOf
1157,5016,subClassOf
2992,1157,subClassOf
1343,2992,subClassOf
3049,2992,subClassOf
11509,1157,subClassOf
7629,11509,subClassOf
5014,1157,subClassOf
12570,5014,subClassOf
11051,5014,subClassOf
7590,5014,subClassOf
575,5014,subClassOf
5071,5014,subClassOf
6717,5014,subClassOf
3255,5014,subClassOf
215,5014,subClassOf
5405,1157,subClassOf
