code,examples
562119,[]
562112,[]
562111,[]
523120,"['Mutual fund agencies (i.e., brokerages)', 'Stock brokerages', 'Securities brokerages']"
424450,[]
326150,[]
48899,"['Arrangement of vanpools or carpools', 'Stockyards (i.e., not for fattening or selling livestock)', 'Independent pipeline terminal facilities']"
443142,"['Cellular telephone accessories stores', 'Consumer-type electronic stores (e.g., televisions, computers, cameras)', 'Stereo stores (except automotive)', 'Radio and television stores', 'Computer stores']"
61171,[]
443141,[]
32522,[]
32521,[]
423130,[]
42459,[]
336510,[]
42451,[]
42452,[]
922160,[]
712120,[]
336310,"['Carburetors, all types, manufacturing', 'Crankshaft assemblies, automotive and truck gasoline engine, manufacturing', 'Cylinder heads, automotive and truck gasoline engine, manufacturing', 'Fuel injection systems and parts, automotive and truck gasoline engine, manufacturing', 'Gasoline engines for hybrid automotive vehicles manufacturing', 'Manifolds (i.e., intake and exhaust), automotive and truck gasoline engine, manufacturing', 'Pistons and piston rings manufacturing', 'Pumps (e.g., fuel, oil, water), mechanical, automotive and truck gasoline engine (except power steering), manufacturing', 'Timing gears and chains, automotive and truck gasoline engine, manufacturing', 'Valves, engine, intake and exhaust, manufacturing']"
56121,[]
448140,[]
337214,[]
451120,[]
424120,"['Photocopy supplies merchant wholesalers', 'Envelope merchant wholesalers', 'Social stationery merchant wholesalers', 'File cards and folders merchant wholesalers', 'Office paper (e.g., carbon, computer, copier, typewriter) merchant wholesalers', 'Greeting cards merchant wholesalers', 'Writing pens merchant wholesalers', 'Pencils merchant wholesalers']"
337122,[]
337121,[]
337127,[]
337124,[]
337125,[]
52392,[]
52393,[]
52391,[]
423220,"['Carpet merchant wholesalers', 'Glassware, household-type, merchant wholesalers', 'Chinaware, household-type, merchant wholesalers', 'Household-type cooking utensils merchant wholesalers', 'Curtains merchant wholesalers', 'Lamps (i.e., lighting fixtures) merchant wholesalers', 'Draperies merchant wholesalers', 'Linens (e.g., bath, bed, table) merchant wholesalers', 'Floor coverings merchant wholesalers', 'Window shades and blinds merchant wholesalers']"
81331,"['Community action advocacy organizations', 'Firearms advocacy organizations', 'Conservation advocacy organizations', 'Human rights advocacy organizations', 'Environmental advocacy organizations', 'Wildlife preservation organizations']"
334614,[]
334613,[]
1133,[]
51111,[]
519190,"['News clipping services', 'Telephone-based recorded information services', 'Stock photo agencies']"
51113,[]
115114,[]
515120,[]
51119,"['Art print publishers (except exclusive Internet publishing)', 'Greeting card publishers (except exclusive Internet publishing)', 'Calendar publishers (except exclusive Internet publishing)']"
453920,[]
488410,[]
9251,[]
333244,[]
333243,[]
333242,[]
333241,[]
48-49,[]
333249,"['Additive manufacturing machinery manufacturing', 'Chemical processing machinery and equipment manufacturing', 'Cigarette making machinery manufacturing', 'Glass making machinery (e.g., blowing, forming, molding) manufacturing', 'Petroleum refining machinery manufacturing', 'Plastics working machinery manufacturing', 'Rubber working machinery manufacturing', 'Sewing machines (including household-type) manufacturing', 'Shoe making and repairing machinery manufacturing', 'Tannery machinery manufacturing', 'Textile making machinery manufacturing']"
4812,[]
4811,[]
532289,[]
532284,[]
624229,[]
532282,[]
321920,[]
532281,[]
45111,[]
45112,[]
42493,[]
45114,[]
113310,[]
54143,[]
112310,[]
325120,[]
112420,[]
112130,[]
33211,[]
7111,[]
512290,[]
92,[]
48412,[]
48411,[]
5182,[]
621493,"['Freestanding ambulatory surgical centers and clinics', 'Freestanding trauma centers (except hospitals)', 'Freestanding emergency medical centers and clinics', 'Urgent medical care centers and clinics (except hospitals)']"
621491,[]
621498,"['Outpatient biofeedback centers and clinics', 'Outpatient pain therapy centers and clinics', 'Outpatient community health centers and clinics', 'Outpatient sleep disorder centers and clinics']"
321213,"['Finger joint lumber manufacturing', 'I-joists, wood, fabricating', 'Laminated veneer lumber (LVL) manufacturing', 'Parallel strand lumber manufacturing', 'Timbers, structural, glue laminated or pre-engineered wood, manufacturing']"
321212,[]
321211,[]
321214,[]
812922,[]
211130,[]
812921,[]
54171,[]
54172,[]
811412,[]
811411,[]
551,[]
541511,[]
423850,"['Amusement park equipment merchant wholesalers', 'Janitorial equipment and supplies merchant wholesalers', 'Beauty parlor equipment and supplies merchant wholesalers', ""Undertakers' equipment and supplies merchant wholesalers"", 'Car wash equipment and supplies merchant wholesalers', ""Upholsterers' equipment and supplies (except fabrics) merchant wholesalers"", 'Drycleaning equipment and supplies merchant wholesalers']"
561311,"['Babysitting bureaus (i.e., registries)', 'Employment registries', 'Casting agencies or bureaus (i.e., motion picture, theatrical, video)', 'Model registries', 'Employment agencies']"
561312,"['Senior executive search services', 'Executive placement services', 'Executive search services']"
541513,[]
33699,[]
518,[]
3342,[]
3343,[]
3341,[]
3346,[]
3344,[]
3345,[]
44422,[]
44421,[]
487210,"['Airboat (i.e., swamp buggy) operation', 'Excursion boat operation', 'Charter fishing boat services', 'Harbor sightseeing tours', 'Dinner cruises']"
334290,"['Fire detection and alarm systems manufacturing', 'Intercom systems and equipment manufacturing', 'Signals (e.g., highway, pedestrian, railway, traffic) manufacturing', 'Video-based stadium displays manufacturing']"
31699,"['Billfolds, all materials, manufacturing', 'Boot and shoe cut stock and findings, leather, manufacturing', 'Dog furnishings (e.g., collars, leashes, harnesses, muzzles), manufacturing', 'Luggage, all materials, manufacturing', ""Purses, women's, all materials (except metal), manufacturing"", 'Shoe soles, leather, manufacturing', 'Toilet kits and cases (except metal) manufacturing', 'Watch bands (except metal) manufacturing', ""Welders' jackets, leggings, and sleeves, leather, manufacturing""]"
327999,"['Dry mix concrete manufacturing', 'Mica products manufacturing', 'Manmade and engineered proppants (e.g., resin-coated sand, ceramic materials) manufacturing', 'Stucco and stucco products manufacturing', 'Synthetic stones, for gem stones and industrial use, manufacturing']"
4251,[]
327992,[]
31123,[]
31121,[]
448310,[]
541410,[]
4522,[]
72121,"['Campgrounds', 'Fishing and hunting camps', 'Travel trailer campsites', 'Outdoor adventure retreats', 'Vacation camps (except instructional, day)', 'Recreational vehicle parks']"
623,[]
72251,[]
921150,[]
23611,[]
55111,[]
5629,[]
311710,[]
5622,[]
5621,[]
111940,[]
336612,"['Dinghy (except inflatable rubber) manufacturing', 'Inflatable plastic boats, heavy-duty, manufacturing', 'Inflatable rubber boats, heavy-duty, manufacturing', 'Motorboats, inboard or outboard, building', 'Rigid inflatable boats (RIBs) manufacturing', 'Rowboats manufacturing', 'Sailboat building, not done in shipyards', 'Yacht building, not done in shipyards']"
336611,"['Barge building', 'Cargo ship building', 'Drilling and production platforms, floating, oil and gas, building', 'Passenger ship building', 'Submarine building']"
453220,"['Balloon shops', 'Greeting card shops', 'Christmas stores', 'Novelty shops', 'Curio shops', 'Souvenir shops', 'Gift shops', 'Fruit basket or fruit bouquet stores']"
511199,"['Art print publishers (except exclusive Internet publishing)', 'Calendar publishers (except exclusive Internet publishing)']"
511191,[]
561492,"['Court reporting or stenotype recording services', 'Real-time (i.e., simultaneous) closed captioning of live television performances, meetings, conferences', 'Public stenography services']"
561491,[]
452319,"['Dollar stores', 'General merchandise catalog showrooms (except catalog mail-order)', 'General merchandise trading posts', 'General stores', 'Home and auto supply stores', 'Variety stores']"
327420,[]
326160,[]
561499,"['Address bar coding services', 'Fundraising organization services on a contract or fee basis', 'Bar code imprinting services', 'Mail presorting services']"
452311,[]
32531,[]
32532,[]
92312,[]
92313,[]
92311,[]
424480,[]
32311,[]
32312,[]
424330,"['Dresses merchant wholesalers', 'Millinery merchant wholesalers', 'Fur clothing merchant wholesalers', ""Women's, children's, and infants' hosiery merchant wholesalers"", 'Lingerie merchant wholesalers']"
56221,[]
561790,"['Building exterior cleaning services (except sandblasting, window cleaning)', 'Swimming pool cleaning and maintenance services', 'Chimney cleaning services', 'Ventilation duct cleaning services', 'Drain or gutter cleaning services']"
32791,[]
32799,[]
56132,[]
33331,[]
56131,"['Employment agencies', 'Executive placement agencies or services', 'Executive search services']"
332999,"['Foil containers (except bags) manufacturing', 'Industrial pattern manufacturing', 'Metal hair curlers manufacturing', 'Metal ironing boards manufacturing', 'Metal pallets manufacturing', 'Metal pipe hangers and supports manufacturing', 'Metal safes manufacturing', 'Metal vaults (except burial) manufacturing', 'Permanent metallic magnets manufacturing', 'Portable metal ladders manufacturing', 'Sanitary ware (e.g., bathtubs, lavatories, sinks), metal and enameled metal, manufacturing', 'Steel wool manufacturing']"
32222,[]
32223,[]
332994,[]
332996,[]
32229,"['Crepe paper made from purchased paper', 'Die-cut paper products (except for office use) made from purchased paper or paperboard', 'Molded pulp products (e.g., egg cartons, food containers, food trays) manufacturing', 'Paper novelties made from purchased paper', 'Sanitary products made from purchased sanitary paper stock']"
332992,[]
332993,[]
21112,[]
21113,[]
81291,[]
541340,[]
81299,[]
424930,[]
81341,[]
488310,[]
525990,"['Closed-end investment funds', 'Special purpose financial vehicles', 'Collateralized mortgage obligations (CMOs)', 'Unit investment trust funds', 'Face-amount certificate funds', 'Mortgage real estate investment trusts (REITs)', 'Real estate mortgage investment conduits (REMICs)']"
333112,[]
333111,"['Combines (i.e., harvester-threshers) manufacturing', 'Cotton ginning machinery manufacturing', 'Feed processing equipment, farm-type, manufacturing', 'Fertilizing machinery, farm-type, manufacturing', 'Grass mowing equipment (except lawn and garden) manufacturing', 'Haying machines manufacturing', 'Milking machines manufacturing', 'Planting machines, farm-type, manufacturing', 'Plows, farm-type, manufacturing', 'Poultry brooders, feeders, and waterers manufacturing', 'Tractors and attachments, farm-type, manufacturing']"
485210,[]
423690,"['Blank audio and video tapes merchant wholesalers', 'Communications equipment merchant wholesalers', 'Blank compact discs (CDs) merchant wholesalers', 'Radar equipment merchant wholesalers', 'Blank digital video discs (DVDs) merchant wholesalers', 'Telegraph equipment merchant wholesalers', 'Blank diskettes merchant wholesalers', 'Telephone equipment merchant wholesalers', 'Broadcasting equipment merchant wholesalers', 'Unloaded computer boards merchant wholesalers']"
453910,[]
221330,[]
9241,[]
311920,[]
321918,"['Clear and finger joint wood moldings manufacturing', 'Decorative wood moldings (e.g., base, chair rail, crown, shoe) manufacturing', 'Ornamental woodwork (e.g., cornices, mantel) manufacturing', 'Planing mills, millwork', 'Stairwork (e.g., newel posts, railings, stairs, staircases), wood, manufacturing', 'Wood flooring manufacturing', 'Wood shutters manufacturing']"
523920,"['Managing trusts', 'Pension fund managing', 'Mutual fund managing', 'Portfolio fund managing']"
4539,[]
321911,[]
321912,[]
711190,"['Carnival traveling shows', 'Ice skating companies', 'Circuses', 'Magic shows']"
4531,[]
4532,[]
4821,[]
42482,[]
42481,[]
42339,[]
311812,[]
311813,[]
42333,[]
42332,[]
33441,[]
48551,[]
49319,[]
325110,[]
711219,[]
926120,[]
49312,[]
49313,[]
49311,[]
711211,[]
711212,[]
335991,[]
7211,[]
7212,[]
7213,[]
335999,"['Appliance cords made from purchased insulated wire', 'Battery chargers, solid-state, manufacturing', 'Door opening and closing devices, electrical, manufacturing', 'Electric bells manufacturing', 'Extension cords made from purchased insulated wire', 'Inverters manufacturing', 'Surge suppressers manufacturing', 'Uninterruptible power supplies (UPS) manufacturing']"
48311,[]
6216,[]
6215,[]
52399,"['Bank trust offices', 'Fiduciary agencies (except real estate)', 'Escrow agencies (except real estate)', 'Stock quotation services']"
6213,[]
6212,[]
6211,[]
6219,[]
112120,[]
48423,[]
48422,[]
48421,[]
312140,[]
3231,[]
5191,[]
337910,[]
211120,[]
334112,[]
33531,[]
334111,[]
54189,[]
237990,"['Channel construction', 'Land drainage contractors', 'Dam construction', 'Marine construction', 'Dock construction', 'Microtunneling contractors', 'Dredging (e.g., canal, channel, ditch, waterway)', 'Nuclear waste disposal site construction', 'Earth retention system construction', 'Park ground and recreational open space improvement construction', 'Flood control project construction', 'Railroad construction', 'Golf course construction', 'Subway construction', 'Horizontal drilling (e.g., cable, pipeline, sewer installation)', 'Trenching, underwater', 'Hydroelectric generating station construction', 'Tunnel construction']"
54184,[]
334118,"['Automatic teller machines (ATM) manufacturing', 'Computer terminals manufacturing', 'Joystick devices manufacturing', 'Keyboards, computer peripheral equipment, manufacturing', 'Monitors, computer peripheral equipment, manufacturing', 'Mouse devices, computer peripheral equipment, manufacturing', 'Optical readers and scanners manufacturing', 'Plotters, computer, manufacturing', 'Point-of-sale terminals manufacturing', 'Printers, computer, manufacturing']"
54186,[]
54181,[]
54183,[]
54182,[]
423840,"['Industrial containers merchant wholesalers', 'Refractory materials (e.g., brick, blocks, shapes) merchant wholesalers', 'Industrial diamonds merchant wholesalers', 'Welding supplies (except welding gases) merchant wholesalers', 'Printing inks merchant wholesalers']"
3351,[]
3353,[]
3352,[]
3359,[]
541921,"['Home photography services', 'School photography services', 'Passport photography services', 'Videotaping services for special events (e.g., weddings)']"
533110,[]
813990,[]
33991,[]
33993,[]
33992,[]
33995,[]
33994,[]
33221,[]
33999,"['Artificial Christmas trees manufacturing', 'Burial caskets and cases manufacturing', 'Candles manufacturing', 'Coin-operated amusement machines (except jukebox) manufacturing', 'Electronic cigarettes manufacturing', 'Fasteners, buttons, needles, and pins (except precious metals or precious and semiprecious stones and gems) manufacturing', 'Floor and dust mops manufacturing', 'Gasket, packing, and sealing devices manufacturing', 'Musical instruments (except toy) manufacturing', 'Portable fire extinguishers manufacturing', 'Umbrellas manufacturing']"
1142,[]
11191,[]
1141,[]
31111,[]
561450,"['Credit agencies', 'Credit rating services', 'Credit investigation services', 'Credit reporting bureaus']"
92411,[]
11192,[]
812199,"['Day spas', 'Depilatory or electrolysis (i.e., hair removal) salons', 'Saunas', 'Ear piercing services', 'Steam or turkish baths', 'Hair replacement (except by offices of physicians) or weaving services', 'Tanning salons', 'Massage parlors', 'Tattoo parlors', 'Permanent makeup salons']"
11119,"['Barley farming', 'Rye farming', 'Milo farming', 'Sorghum farming', 'Oat farming', 'Wild rice farming', 'Oilseed and grain combination farming']"
325920,[]
31599,[]
51114,[]
11111,[]
11113,[]
11112,[]
11115,[]
11114,[]
335210,"['Bath fans, residential, manufacturing', 'Carpet and floor cleaning equipment, household-type electric, manufacturing', 'Ceiling fans, residential, manufacturing', 'Curling irons, household-type electric, manufacturing', 'Electric blankets manufacturing', 'Portable cooking appliances (except microwave, convection ovens), household-type electric, manufacturing', 'Portable electric space heaters manufacturing', 'Portable hair dryers, electric, manufacturing', 'Portable humidifiers and dehumidifiers manufacturing', 'Scissors, electric, manufacturing', 'Ventilating and exhaust fans (except attic fans), household-type, manufacturing']"
11116,[]
713210,[]
541,[]
72131,[]
523210,[]
51112,[]
921140,[]
111310,[]
316110,[]
511210,[]
5619,[]
7112,[]
5612,[]
5613,[]
5611,[]
5616,[]
5617,[]
5614,[]
5615,[]
332410,[]
541330,"['Civil engineering services', 'Environmental engineering services', 'Construction engineering services', 'Mechanical engineering services', ""Engineers' offices""]"
541110,[]
322299,"['Crepe paper made from purchased paper', 'Die-cut paper products (except for office use) made from purchased paper or paperboard', 'Molded pulp products (e.g., egg cartons, food containers, food trays) manufacturing', 'Paper novelties made from purchased paper']"
62149,"['Dialysis centers and clinics', 'Outpatient biofeedback centers and clinics', 'Freestanding ambulatory surgical centers and clinics', 'Outpatient community health centers and clinics', 'Freestanding emergency medical centers and clinics', 'Outpatient sleep disorder centers and clinics', 'Health maintenance organization (HMO) medical centers and clinics']"
51919,[]
56211,[]
423110,[]
51911,[]
423440,"['Balances and scales (except laboratory) merchant wholesalers', 'Commercial shelving merchant wholesalers', 'Coin-operated merchandising machine merchant wholesalers', 'Electrical signs merchant wholesalers', 'Commercial chinaware merchant wholesalers', 'Partitions merchant wholesalers', 'Commercial cooking equipment merchant wholesalers', 'Store fixtures (except refrigerated) merchant wholesalers']"
51913,[]
424490,"['Bakery products (except frozen) merchant wholesalers', 'Canned seafood merchant wholesalers', 'Canned fish merchant wholesalers', 'Canned vegetables merchant wholesalers', 'Canned fruits merchant wholesalers', 'Dried milk merchant wholesalers', 'Canned meats merchant wholesalers', 'Soft drinks merchant wholesalers', 'Canned milk merchant wholesalers']"
