src,dst,rel
6684,2991,subClassOf
9209,6684,subClassOf
4970,6684,subClassOf
6268,6684,subClassOf
1881,2991,subClassOf
12851,1881,subClassOf
11042,1881,subClassOf
5744,1881,subClassOf
3047,2991,subClassOf
11596,3047,subClassOf
11694,3047,subClassOf
1324,3047,subClassOf
1346,3047,subClassOf
3017,3047,subClassOf
4008,3047,subClassOf
2558,3047,subClassOf
3018,2991,subClassOf
1823,3018,subClassOf
8413,2991,subClassOf
9670,8413,subClassOf
13362,8413,subClassOf
208,2991,subClassOf
13019,208,subClassOf
4507,2991,subClassOf
3533,4507,subClassOf
10566,3533,subClassOf
7498,3533,subClassOf
8385,3533,subClassOf
10021,3533,subClassOf
12775,3533,subClassOf
10513,3533,subClassOf
9717,3533,subClassOf
3470,3533,subClassOf
950,3533,subClassOf
8324,4507,subClassOf
9657,4507,subClassOf
12762,4507,subClassOf
3055,4507,subClassOf
4613,4507,subClassOf
3933,4507,subClassOf
4740,4507,subClassOf
2963,2991,subClassOf
3809,2963,subClassOf
5422,2963,subClassOf
5000,2963,subClassOf
2292,2991,subClassOf
2292,2292,subClassOf
6226,2991,subClassOf
11043,6226,subClassOf
13598,6226,subClassOf
12841,6226,subClassOf
2987,6226,subClassOf
1867,6226,subClassOf
5338,6226,subClassOf
2819,6226,subClassOf
3023,6226,subClassOf
312,6226,subClassOf
3051,2991,subClassOf
7850,3051,subClassOf
11055,3051,subClassOf
3466,3051,subClassOf
555,3051,subClassOf
539,3051,subClassOf
5718,3051,subClassOf
3289,3051,subClassOf
6569,3051,subClassOf
5760,2991,subClassOf
5005,5760,subClassOf
1034,5760,subClassOf
1347,2991,subClassOf
4426,1347,subClassOf
