PCF ID,Hierarchy ID,Name,Difference Index,Change details,Metrics available?
10002,1,Develop Vision and Strategy,75,"+20944, c10016",Y
17040,1.1,Define the business concept and long-term vision,12,c10019,N
10017,1.1.1,Assess the external environment,3,"+19945, +16790, +16791",Y
19945,1.1.1.1,Identify competitors,1,NEW,N
10021,1.1.1.2,Analyze and Evaluate competition,0,,N
10022,1.1.1.3,Identify economic trends,0,,N
10023,1.1.1.4,Identify political and regulatory issues,0,,N
10024,1.1.1.5,Assess new technology innovations,0,,N
10025,1.1.1.6,Analyze demographics,0,,N
10026,1.1.1.7,Identify social and cultural changes,0,,N
10027,1.1.1.8,Identify ecological concerns,0,,N
16790,1.1.1.9,Identify intellectual property concerns,1,NEW,N
16791,1.1.1.10,Evaluate IP acquisition options,1,NEW,N
10018,1.1.2,Survey market and determine customer needs and wants,4,"+19946, +19947, -10029, c10028",Y
10028,1.1.2.1,Conduct qualitative/quantitative research and assessments,1,"RENAME, WAS:Conduct qualitative/quantitative assessments",N
19946,1.1.2.2,Capture customer needs and wants,1,NEW,N
19947,1.1.2.3,Assess customer needs and wants,1,NEW,N
10019,1.1.3,Assess the internal environment,4,"+19948, c10033, c10034, RENAME, WAS:Perform internal analysis",N
10030,1.1.3.1,Analyze organizational characteristics,0,,N
19948,1.1.3.2,Analyze internal operations,1,NEW,N
10031,1.1.3.3,Create baselines for current processes,0,,N
10032,1.1.3.4,Analyze systems and technology,0,,N
10033,1.1.3.5,Analyze financial health,1,"RENAME, WAS:Analyze financial positions",N
10034,1.1.3.6,Identify core competencies,1,"RENAME, WAS:Identify enterprise core competencies",N
10020,1.1.4,Establish strategic vision,1,+19949,N
19949,1.1.4.1,Define the strategic vision,1,NEW,N
10035,1.1.4.2,Align stakeholders around strategic vision,0,,N
10036,1.1.4.3,Communicate strategic vision to stakeholders,0,,N
16792,1.1.5,Conduct organization restructuring opportunities,0,,N
16793,1.1.5.1,Identify restructuring opportunities,0,,N
16794,1.1.5.2,Perform due-diligence,0,,N
16795,1.1.5.3,Analyze deal options,0,,N
16796,1.1.5.3.1,Evaluate acquisition options,0,,N
16797,1.1.5.3.2,Evaluate merger options,0,,N
16798,1.1.5.3.3,Evaluate de-merger options,0,,N
16799,1.1.5.3.4,Evaluate divesture options,0,,N
10015,1.2,Develop business strategy,39,"+19959, +18916, c10041, c10038",N
10037,1.2.1,Develop overall mission statement,0,,N
10044,1.2.1.1,Define current business,0,,N
10045,1.2.1.2,Formulate mission,0,,N
10046,1.2.1.3,Communicate mission,0,,N
10038,1.2.2,Define and evaluate strategic options to achieve the objectives,14,"+16800, +16802, +16803, +16805, +16806, +19950, +19951, +19952, -14190, RENAME, WAS:Evaluate strategic options to achieve the objectives",N
10047,1.2.2.1,Define strategic options,1,+18083,N
18083,1.2.2.1.1,Select partnerships and relationships to support the extended enterprise,1,NEW,N
10048,1.2.2.2,Assess and analyze impact of each option,2,"+13289, +13290",N
13289,1.2.2.2.1,Identify implications for key operating model business elements that require change,1,NEW,N
13290,1.2.2.2.2,Identify implications for key technology aspects,1,NEW,N
16800,1.2.2.3,Develop B2B strategy,2,"+16801, NEW",N
16801,1.2.2.3.1,Develop service as a product strategy,1,NEW,N
16802,1.2.2.4,Develop B2C strategy,1,NEW,N
16803,1.2.2.5,Develop partner/alliance strategy,1,NEW,N
16805,1.2.2.6,Develop merger/demerger/acquisition/exit strategy,1,NEW,N
16806,1.2.2.7,Develop innovation strategy,1,NEW,N
14189,1.2.2.8,Develop sustainability strategy,0,,N
19950,1.2.2.9,Develop global support strategy,1,NEW,N
19951,1.2.2.10,Develop shared services strategy,1,NEW,N
14197,1.2.2.11,Develop lean/continuous improvement strategy,0,,N
19952,1.2.2.12,Develop innovation strategy and framework,1,NEW,N
10039,1.2.3,Select long-term business strategy,0,,N
10040,1.2.4,Coordinate and align functional and process strategies,0,,N
10041,1.2.5,Create organizational design,1,"RENAME, WAS:Create organizational design (structure, governance, reporting, etc.)",N
10049,1.2.5.1,Evaluate breadth and depth of organizational structure,0,,N
10050,1.2.5.2,Perform job-specific roles mapping and value-added analyses,0,,N
10051,1.2.5.3,Develop role activity diagrams to assess hand-off activity,0,,N
10052,1.2.5.4,Perform organization redesign workshops,0,,N
10053,1.2.5.5,Design the relationships between organizational units,0,,N
10054,1.2.5.6,Develop role analysis and activity diagrams for key processes,0,,N
10055,1.2.5.7,Assess organizational implication of feasible alternatives,0,,N
10056,1.2.5.8,Migrate to new organization,0,,N
10042,1.2.6,Develop and set organizational goals,3,"+19953, +19954, +19955",N
19953,1.2.6.1,Identify organizational goals,1,NEW,N
19954,1.2.6.2,Establish baseline metrics,1,NEW,N
19955,1.2.6.3,Monitor performance against goals,1,NEW,N
10043,1.2.7,Formulate business unit strategies,3,"+19956, +19957, +19958",N
19956,1.2.7.1,Analyze business unit strategies,1,NEW,N
19957,1.2.7.2,Identify core competency for each business unit,1,NEW,N
19958,1.2.7.3,Refine business unit strategies in support of company strategy,1,NEW,N
19959,1.2.8,Develop customer experience strategy,17,"+19960, +19964, +19971, +19974, NEW",N
19960,1.2.8.1,Assess customer experience,4,"+19961, +19962, +19963, NEW",N
19961,1.2.8.1.1,Identify and review customer touchpoints,1,NEW,N
19962,1.2.8.1.2,Assess customer experience across touchpoints,1,NEW,N
19963,1.2.8.1.3,Perform root cause analysis of problematic customer experiences,1,NEW,N
19964,1.2.8.2,Design customer experience,8,"+19965, +19966, +19967, +19968, +19969, +19970, c16612, NEW",N
16612,1.2.8.2.1,Define and manage customer personas,1,"RENAME, WAS:Define and manage personas",N
19965,1.2.8.2.2,Create customer journey maps,1,NEW,N
19966,1.2.8.2.3,Define single view of the customer for the organization,1,NEW,N
19967,1.2.8.2.4,Define a vision for the customer experience,1,NEW,N
19968,1.2.8.2.5,Validate with customers,1,NEW,N
19969,1.2.8.2.6,Align experience with brand values and business strategies,1,NEW,N
19970,1.2.8.2.7,Develop content strategy,1,NEW,N
19971,1.2.8.3,Design customer experience support structure,3,"+19972, +19973, NEW",N
19972,1.2.8.3.1,Identify required capabilities,1,NEW,N
19973,1.2.8.3.2,Identify impact on functional processes,1,NEW,N
19974,1.2.8.4,Develop customer experience roadmap to develop and implement defined capabilities,1,NEW,N
18916,1.2.9,Communicate strategies internally and externally,1,NEW,N
10016,1.3,Execute and measure strategic initiatives,12,"+19507, RENAME, WAS:Manage strategic initiatives",N
10057,1.3.1,Develop strategic initiatives,3,"+19975, +19976, +19977",N
19975,1.3.1.1,Identify strategic priorities,1,NEW,N
19976,1.3.1.2,Develop strategic initiatives based on business/customer value,1,NEW,N
19977,1.3.1.3,Review with stakeholders,1,NEW,N
10058,1.3.2,Evaluate strategic initiatives,2,"+19978, +19979",N
19978,1.3.2.1,Determine business value for each strategic priority,1,NEW,N
19979,1.3.2.2,Determine the customer value for each strategic priority,1,NEW,N
10059,1.3.3,Select strategic initiatives,2,"+19980, +19981",N
19980,1.3.3.1,Prioritize strategic initiatives,1,NEW,N
19981,1.3.3.2,Communicate strategic initiatives to business units and stakeholders,1,NEW,N
10060,1.3.4,Establish high-level measures,3,"+19982, +19983, +19984",N
19982,1.3.4.1,Identify business value drivers,1,NEW,N
19983,1.3.4.2,Establish baselines for business value drivers,1,NEW,N
19984,1.3.4.3,Monitor performance against baselines,1,NEW,N
19507,1.3.5,Execute strategic initiatives,1,NEW,N
20944,1.4,Develop and maintain business models,12,"+20945, +20950, +20955, NEW",N
20945,1.4.1,Develop business models,5,"+20946, +20947, +20948, +20949, NEW",N
20946,1.4.1.1,Assemble business model information,1,NEW,N
20947,1.4.1.2,Secure appropriate approvals,1,NEW,N
20948,1.4.1.3,Identify integration points with existing models,1,NEW,N
20949,1.4.1.4,Adopt the business model,1,NEW,N
20950,1.4.2,Maintain business models,5,"+20951, +20952, +20953, +20954, NEW",N
20951,1.4.2.1,Establish business model maintenance parameters,1,NEW,N
20952,1.4.2.2,Accept business model feedback parameters,1,NEW,N
20953,1.4.2.3,Prioritize and manage incoming feedback,1,NEW,N
20954,1.4.2.4,Update existing models,1,NEW,N
20955,1.4.3,Establish business model governance,1,NEW,N
16477,2,Develop and Manage Customer Experience,15,,N
16478,2.1,Operate direct channels,3,,N
16479,2.1.1,Develop and manage online experience,1,c16481,N
16480,2.1.1.1,Determine online assortment,0,,N
16481,2.1.1.2,Develop online page layouts,1,"RENAME, WAS:Develop page layouts",N
16482,2.1.1.3,Develop site layout,0,,N
16483,2.1.2,Provide customer self-service,0,,N
16484,2.1.2.1,Assess opportunities for self-service,0,,N
16485,2.1.2.2,Develop self-service delivery solutions,0,,N
16486,2.1.2.3,Assess and improve self-service delivery experience,0,,N
16487,2.1.3,Manage shopping cart,1,c16491,N
16488,2.1.3.1,Track shopping cart adds and deletes,0,,N
16489,2.1.3.2,Develop business rules to increase conversions,0,,N
16490,2.1.3.3,Monitor performance and adjust rules,0,,N
16491,2.1.3.4,Accept online payments,1,"RENAME, WAS:Accept payments",N
16492,2.1.4,Develop and manage catalog,0,,N
