id,name,status,description,tags
13,Cap1,active,Cap1 description,[]
14,Cap2,active,Cap2 description,[]
15,Cap3,active,Cap3 description,[]
16,Cap4,active,Cap4 description,[]
17,HCap2,inactive,This is a test capability,[]
18,Accounting,active,"Accounting or accountancy is the measurement, processing, and communication of financial and non financial information about economic entities such as businesses and corporations",[]
19,Data Science AJ,active,"Data science is an inter-disciplinary field that uses scientific methods, processes, algorithms and systems to extract knowledge and insights from many structural and unstructured data. Data science is related to data mining, machine learning and big data.",[]
20,Artificial Intelligence,active,"Artificial intelligence, sometimes called machine intelligence, is intelligence demonstrated by machines, unlike the natural intelligence displayed by humans and animals.",[]
21,Advanced Analytics,active,"Analytics is the systematic computational analysis of data or statistics. It is used for the discovery, interpretation, and communication of meaningful patterns in data. It also entails applying data patterns towards effective decision making.",[]
22,new,inactive,new,[1]
23,Assembly,active,The capability to utilize a series of workers and machines in a factory by which a succession of identical items is progressively assembled.,[]
24,Manufacturing,active,"Manufacturing is the production of products for use or sale, using labor and machines, tools, and chemical or biological processing or formulation. It is the essence of secondary industry. The term may refer to a range of human activity, from handicraft to high-tech, but is most commonly applied to industrial design, in which raw materials from primary industry are transformed into finished goods on a large scale. Such goods may be sold to other manufacturers for the production of other more complex products (such as aircraft, household appliances, furniture, sports equipment or automobiles), or distributed via the tertiary industry to end users and consumers (usually through wholesalers, who in turn sell to retailers, who then sell them to individual customers).",[]
25,Make,active,"Making—Supply chain managers coordinate the activities required to accept raw materials, manufacture the product, test for quality, package for shipping, and schedule for delivery.",[]
26,Source,active,"Sourcing describes all those activities within the procurement process concerned with identifying and evaluating potential suppliers, engaging with selected suppliers and selecting the best value supplier(s).","[2, 1]"
27,Plan,active,"Supply chain planning (SCP) is the forward-looking process of coordinating assets to optimize the delivery of goods, services and information from supplier to customer, balancing supply and demand",[]
28,Deliver,active,"Connects people who need moving or delivery help with qualified helpers and their trucks. Provides consumers with more options with less hassle for moving and buying products that normally require assistance or delivery, gives businesses more ability to reach customers, and greater consumer product access.",[]
29,Return,active,The capability to return deliveries of orders that are either no longer required or disputed by the organization,[]
31,Enable,active,"The processes associated with establishing, maintaining, and monitoring information, assets, business rules, compliance and contracts required to operate the supply chain as well as monitoring and managing the overall performance of the supply chain.  ENable processes to provide critical inputs and directions to support the realization and governance of the planning and execution processes of supply chains.  (sE - SOCR v12)",[]
32,SCOR v12,active,SCOR v12 Model Placeholder Capability,[]
33,Cap5,active,Cap5 description,[]
34,Fabrication,active,"Fabrication is the action or process of manufacturing or inventing something, typically using components to construct or manufacture industrial products",[]
35,Study Design & Planning,active,Study Design & Planning,[]
37,Pharmaceutical Preparation Manufacturing (NAICS 325412),active,Pharmaceutical Preparation Manufacturing (NAICS 325412),[]
38,Construction Manufacturing (NAICS 21000),active,Construction PLaceholder,[]
39,Infrastructure,active,infa,[]
41,Banking Captree (NAICS 52),active,,[]
42,Products & Services Operations,active,,[]
43,Loans & Deposits,active,"a loan is the lending of money by one or more individuals, organizations, or other entities to other individuals, organizations etc. The recipient incurs a debt and is usually liable to pay interest on that debt until it is repaid as well as to repay the principal amount borrowed.

A deposit account is a bank account maintained by a financial institution in which a customer can deposit and withdraw money. Deposit accounts can be savings accounts, current accounts",[]
44,Loan,active,"A loan is the lending of money by one or more individuals, organizations, or other entities to other individuals, organizations etc. The recipient incurs a debt and is usually liable to pay interest on that debt until it is repaid as well as to repay the principal amount borrowed.",[]
45,Leasing,active,"Financial Leasing is an alternative way of financing whereby a licensed leasing company (the “Lessor') purchases an asset on behalf of its customer (the “Lessee”) in return for a contractually agreed series of payments which usually include an element of interest.",[]
46,Current Account,active,"A transaction account, also called a checking account, chequing account, current account, demand deposit account, or share draft account at credit unions, is a deposit account held at a bank or other financial institution. It is available to the account owner ""on demand"" and is available for frequent and immediate access by the account owner or to others as the account owner may direct. Access may be in a variety of ways, such as cash withdrawals, use of debit cards, cheques (checks) and electronic transfer. In economic terms, the funds held in a transaction account are regarded as liquid funds. In accounting terms they are considered as cash.",[]
47,Deposit Account,active,"
Globe icon.	
The examples and perspective in this article may not represent a worldwide view of the subject. You may improve this article, discuss the issue on the talk page, or create a new article, as appropriate. (April 2016) (Learn how and when to remove this template message)
Part of a series on financial services
Banking
Types of banks[show]
Accounts · Cards[hide]
Accounts
Christmas clubDepositMoney-marketSavingsTime deposit (Bond)
Transaction (checking / current)
Cards
ATMCreditDebit
Funds transfer[show]
Terms[show]
Related topics[show]
Category CategoryCommons page CommonsPortal Portal
vte
A deposit account is a bank account maintained by a financial institution in which a customer can deposit and withdraw money. ",[]
48,Corporate Current Account,active,"Corporate Current Account is a company's basic account which can be complemented with credit limit and payment services necessary for managing everyday finances. The account can also be used as the master account and transaction account of the Group Account Service",[]
49,Consumer Loan,active,"Consumer credit is personal debt taken on to purchase goods and services. A credit card is one form of consumer credit.

Consumer credit is extended by banks, retailers, and others to enable consumers to purchase goods immediately and pay off the cost over time with interest. It is broadly divided into two classifications: installment credit and revolving credit.",[]
50,Corporate Loan,active,"Corporate/Commercial loan is a debt-based funding arrangement between a business and a financial institution such as a bank. It is typically used to fund major capital expenditures and/or cover operational costs that the company may otherwise be unable to afford. Expensive upfront costs and regulatory hurdles often prevent small businesses from having direct access to bond and equity markets for financing. This means that, not unlike individual consumers, smaller businesses must rely on other lending products, such as lines of credit, unsecured loans or term loans.",[]
51,Corporate Deposits,active,"A corporate deposit is an interest bearing deposit bank product offered to corporate banking customers by banks and accredited financial institutions. Corporate deposit target customers can include large commercial companies, public institutions, government agencies and large non profits",[]
52,Corporate Lease,active,"Corporate Lease means a lease of an apartment to a corporate or other commercial tenant, such as Leading Apartments, who subleases or licenses such apartment to third party users.",[]
53,Mortgage,active,"A mortgage is a debt instrument, secured by the collateral of specified real estate property, that the borrower is obliged to pay back with a predetermined set of payments",[]
54,Fiduciary Agreement,active,"The Fiduciary agreement is often defined as a contract where a person transfers the ownership of one asset to another person, named the fiduciary, who will be in charge to exercise ownership rights on his behalf and re-transfer the asset to a named person at the end of the contract.",[]
55,Savings Account,active,"A savings account is a bank account at a retail bank whose features include the requirements that only a limited number of withdrawals can take place, it does not have cheque facilities and usually do not have a linked debit card facility, it has limited transfer facilities and cannot be overdrawn",[]
56,Cards,active,"A bank card is typically a plastic card issued by a bank to its clients that performs one or more of a number of services that relate to giving the client access to bank account. Physically, a bank card will usually have the client's name, the issuer's name, and a unique card number printed on it",[]
57,Credit/Charge Card,active,"A charge card is a type of electronic payment card that charges no interest but requires the user to pay their balance in full upon receipt of the statement, usually on a monthly basis. Charge cards are offered by a limited number of issuers",[]
58,Card Authorization,active,"Credit card authorization is an approval from a card issuer, usually through a credit card processor, that the customer has sufficient funds to cover the cost of the transaction. It can also refer to the procedure of acquiring that authorization from the issuer.",[]
59,Card Capture,active,"Credit card capture or authorization capture takes place after a payment authorization. It's when the authorized money is transferred from the customer's account to a merchant's account. So, in short, the transaction amount doesn't reach the merchant account until the funds are captured.",[]
60,Card Billing & Payments,active,"A billing statement is a periodic statement that lists all the purchases, payments and other debits and credits made to your credit card account within the billing cycle. Your credit card issuer sends your billing statement about once a month that is expected to be paid regularly.",[]
61,Merchant Relations,active,Merchant Relationship means all contracts and agreements (including website terms of service) between Seller and merchant customer of the Stampt Platform. ＋ New List.,[]
62,Merchant Acquiring,active,A merchant acquirer is generally a bank service provider that manages electronic deposits of funds from clients paid to a merchant account. A merchant acquirer can also be known as a settlement bank as they facilitate the communication and settlement of merchant payments,[]
63,Card Network Participant,active,"Credit Card Network/Association Member: These entities operate the networks that process credit card payments worldwide and govern interchange fees. Examples of credit card networks are Visa, MasterCard, Discover and American Express.",[]
64,Consumer Services,active,"Retail banking, also known as consumer banking or personal banking, is banking that provides financial services to consumers as individuals not businesses. Services offered by retail banks include checking and savings accounts, mortgages, personal loans, credit cards, and certificates of deposit (CDs)",[]
65,Corporate Trust Services,active,"The term, Corporate trust services, in the United States is most often used to describe the business activities of many financial services companies and banks that act in a fiduciary capacity for investors in a particular security (i.e. stock investors or bond investors). ",[]
66,Remittance,active,"A remittance is a transfer of money, often by a foreign worker to an individual in their home country. Money sent home by migrants competes with international aid as one of the largest financial inflows to developing countries",[]
67,Currency Exchange,active,"A currency exchange is a business that has the legal right to exchange one currency for another to its customers. Currency exchange of physical money (coins and paper bills), is usually done over a counter at a teller station. Currency exchange businesses that operate such transactions can be found in a variety of forms and venues. It may be a stand-alone, small business operating out of a single office, or it may be a larger chain of small exchange-service booths at airports, or it may be a large international bank offering currency exchange services at its teller stations. On a larger scale, this is referred to as repatriation.",[]
