id,cap_name,type,industry_tree_id,company_id,parentId,mpath,capability_lib_id,capability,tags,location,technologies,hierarchy_id
6385,Master CapTree,master,,,,6385.,,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],0
13233,Data Science AJ,master,1140,,6488,6488.13233.,19,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],0
13366,HCap2,master,,,6385,6385.13366.,,9517,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],131
13400,SCOR v12,master,,,6385,6385.13400.,32,,[4],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],107
13405,Deliver,master,,,13400,6385.13400.13405.,28,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],1
13407,Enable,master,,,13400,6385.13400.13407.,31,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],2
13495,Trade position management,master,,,6385,6385.13495.,90,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],108
13498,Market Order Execution,master,,,6385,6385.13498.,91,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],110
13508,Product Alliances Strategy,master,,,6385,6385.13508.,96,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],109
13653,Capability,master,,,6385,6385.13653.,204,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],112
13725,BANKING PLACEHOLDER,master,,,6385,6385.13725.,985,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],60
13726,PHARMA CRO PLACEHOLDER,master,,,6385,6385.13726.,986,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],113
13727,LIFE INSURANCE PLACEHOLDER,master,,,6385,6385.13727.,987,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],114
13924,Marketing,master,,,13924,6385.13924.,594,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
13925,Market Analytics/Analysis,master,,,13924,6385.13925.,582,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
13926,Customer Segmentation,master,,,13925,6385.13926.,359,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
13927,Customer Acquisition,master,,,13924,6385.13927.,334,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14057,Channels/Network,master,,,13924,6385.14057.,235,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14058,Collateral,master,,,13924,6385.14058.,265,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14059,Promotions,master,,,13924,6385.14059.,760,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14060,Public Relations,master,,,13924,6385.14060.,771,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14061,Media Management,master,,,14060,6385.14061.,601,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14062,Recall Management,master,,,14060,6385.14062.,787,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14104,Social Media,master,,,14214,6385.14104.,895,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14213,Agency Management,master,,,13924,6385.14213.,118,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14214,Awareness,master,,,13924,6385.14214.,155,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14215,Events,master,,,14214,6385.14215.,437,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14216,Brand Management,master,,,14214,6385.14216.,182,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14217,Advertising,master,,,14214,6385.14217.,113,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14218,Competitve Assessment,master,,,13925,6385.14218.,278,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14758,Current Account,master,,,6385,6385.14758.,46,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],143
14792,eTrading Workbench,master,,,6385,6385.14792.,435,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],146
14793,Wholesale Trading,master,,,6385,6385.14793.,80,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],147
14794,Trading Book Oversight,master,,,6385,6385.14794.,81,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],148
14796,Dealer Workbench,master,,,14798,6385.14796.,83,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14797,Quote Management,master,,,6385,6385.14797.,84,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],149
14798,Suitability Checking,master,,,14799,6385.14798.,85,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
14799,Credit Risk Operations,master,,,6385,6385.14799.,86,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],150
14801,ECM/DCM,master,,,6385,6385.14801.,88,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],151
14804,Market Order,master,,,6385,6385.14804.,91,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],152
15015,Product Portfolio Strategy,master,,,6385,6385.15015.,95,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],160
15335,Product Planning & Analysis,master,,,6385,6385.15335.,97,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],170
15389,Program Trading,master,,,14797,6385.14797.15389.,89,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15398,Trading Models,master,,,14793,6385.14793.15398.,82,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1
15423,Make,master,,,13400,6385.13400.15423.,25,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],3
15424,Source,master,,,13400,6385.13400.15424.,26,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],4
15425,Return,master,,,13400,6385.13400.15425.,29,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],5
15434,Plan,master,,,13400,6385.13400.15434.,27,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15435,Plan Supply Chain,master,,,15434,6385.13400.15434.15435.,988,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15436,"Identify, Prioritize & Aggregate Supply Chain Requirements",master,,,15435,6385.13400.15434.15435.15436.,993,9553,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15437,Item Rationalization,master,,,15436,6385.13400.15434.15435.15436.15437.,997,9554,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15438,Demand Planning & Forecasting,master,,,15436,6385.13400.15434.15435.15436.15438.,1005,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],6
15439,Demand Planning,master,,,15436,6385.13400.15434.15435.15436.15439.,384,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],2
15440,Demand Management,master,,,15436,6385.13400.15434.15435.15436.15440.,383,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],3
15441,Sales & Operations Planning,master,,,15436,6385.13400.15434.15435.15436.15441.,850,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],4
15442,Days of Supply Based MRP Proposal Management,master,,,15436,6385.13400.15434.15435.15436.15442.,1000,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],5
15443,Vendor Collaboration,master,,,15436,6385.13400.15434.15435.15436.15443.,1002,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],1
15444,Scenario Planning,master,,,15436,6385.13400.15434.15435.15436.15444.,860,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],7
15445,Integrated Business Planning (IBP),master,,,15436,6385.13400.15434.15435.15436.15445.,1003,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],8
15446,Characteristics-based Forecasting,master,,,15436,6385.13400.15434.15435.15436.15446.,1001,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],9
15447,Supply Chain Optimization (SCO),master,,,15436,6385.13400.15434.15435.15436.15447.,998,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],10
15448,Supply Network Planning,master,,,15436,6385.13400.15434.15435.15436.15448.,999,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],11
15449,"Identify, Prioritize & Aggregate Supply Chain Resources",master,,,15435,6385.13400.15434.15435.15449.,994,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15450,Balance Supply Chain Resources with SC Requirements,master,,,15435,6385.13400.15434.15435.15450.,995,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15451,Establish & Communicate Supply Chain Plans,master,,,15435,6385.13400.15434.15435.15451.,996,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15452,Plan Source,master,,,15434,6385.13400.15434.15452.,989,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15453,Plan Make,master,,,15434,6385.13400.15434.15453.,990,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15454,Plan Deliver,master,,,15434,6385.13400.15434.15454.,991,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15455,Plan Return,master,,,15434,6385.13400.15434.15455.,992,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15496,Cap3,master,,,,15496.,14,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15497,Cap3,master,,,,15497.,14,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15498,Cap3,master,,,,15498.,15,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15500,Cap3,master,,,,15500.,15,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15502,Corporate Loan,master,,,,15502.,50,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15503,Corporate Loan,master,,,,15503.,50,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],0
15512,MANUFACTURING PLACEHOLDER,master,,,6385,6385.15512.,984,,[1],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],48
