name,classification
Parity,Competitve
Parity,Differentiated
Parity,Gap
Action,Automate
Action,Invest
Action,Leave
Action,Outsource
Focus,Cash Turn
Focus,Compliance
Focus,Customer Cares
Focus,Execution
Focus,Inventory Turns
Focus,Market Insight
Focus,Revenue
Focus,Visibility
Value Driver,Revenue
Value Driver,Cost Savings
Value Driver,Cost Avoidance
Value Driver,Productivity
Cap7,D-Digital
Cap7,D-Expertise
Cap7,Data Processing
Cap7,Interface
Cap7,Managerial
Cap7,Physical - Pred
Cap7,Physical - Unique
