id,cap_name,type,prevParentId,prevId,capability_lib_id,industry_tree_id,company_id,hierarchy_id,parentId,tags,location,technologies,mpath,capability
1,Master CapTree,master,,6385,,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],1.,
2,HCap2,master,6385,13366,,,,131,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],2.,
3,SCOR v12,master,6385,13400,19,,,107,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],3.,
4,Deliver,master,13400,13405,16,,,1,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],4.,
5,Enable,master,13400,13407,18,,,2,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],5.,
6,Trade position management,master,6385,13495,74,,,108,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],6.,
7,Market Order Execution,master,6385,13498,75,,,110,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],7.,
8,Product Alliances Strategy,master,6385,13508,78,,,109,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": null}",[],8.,
9,Capability,master,6385,13653,183,,,112,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],9.,
10,BANKING PLACEHOLDER,master,6385,13725,951,,,60,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],10.,
11,PHARMA CRO PLACEHOLDER,master,6385,13726,952,,,113,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],11.,
12,LIFE INSURANCE PLACEHOLDER,master,6385,13727,953,,,114,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],12.,
13,Marketing,master,13924,13924,569,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],13.,
14,Market Analytics/Analysis,master,13924,13925,557,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],14.,
15,Customer Segmentation,master,13925,13926,337,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],15.,
16,Customer Acquisition,master,13924,13927,312,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],16.,
17,Channels/Network,master,13924,14057,213,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],17.,
18,Collateral,master,13924,14058,243,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],18.,
19,Promotions,master,13924,14059,734,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],19.,
20,Public Relations,master,13924,14060,745,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],20.,
21,Media Management,master,14060,14061,576,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],21.,
22,Recall Management,master,14060,14062,761,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],22.,
23,Social Media,master,14214,14104,869,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],23.,
24,Agency Management,master,13924,14213,100,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],24.,
25,Awareness,master,13924,14214,136,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],25.,
26,Events,master,14214,14215,413,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],26.,
27,Brand Management,master,14214,14216,162,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],27.,
28,Advertising,master,14214,14217,95,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],28.,
29,Competitve Assessment,master,13925,14218,256,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],29.,
30,Current Account,master,6385,14758,31,,,143,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],30.,
31,eTrading Workbench,master,6385,14792,411,,,146,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],31.,
32,Wholesale Trading,master,6385,14793,64,,,147,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],32.,
33,Trading Book Oversight,master,6385,14794,65,,,148,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],33.,
34,Dealer Workbench,master,14798,14796,67,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],34.,
35,Quote Management,master,6385,14797,68,,,149,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],35.,
36,Suitability Checking,master,14799,14798,69,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],36.,
37,Credit Risk Operations,master,6385,14799,70,,,150,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],37.,
38,ECM/DCM,master,6385,14801,72,,,151,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],38.,
39,Market Order,master,6385,14804,75,,,152,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],39.,
40,Product Portfolio Strategy,master,6385,15015,77,,,160,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],40.,
41,Product Planning & Analysis,master,6385,15335,79,,,170,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],41.,
42,Program Trading,master,14797,15389,73,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],42.,
43,Trading Models,master,14793,15398,66,,,1,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],43.,
44,Make,master,13400,15423,13,,,3,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],44.,
45,Source,master,13400,15424,14,,,4,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],45.,
46,Return,master,13400,15425,17,,,5,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],46.,
47,Plan,master,13400,15434,15,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],47.,
48,Plan Supply Chain,master,15434,15435,954,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],48.,
49,"Identify, Prioritize & Aggregate Supply Chain Requirements",master,15435,15436,959,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],49.,
50,Item Rationalization,master,15436,15437,963,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],50.,
51,Demand Planning & Forecasting,master,15436,15438,970,,,6,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],51.,
52,Demand Planning,master,15436,15439,361,,,2,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],52.,
53,Demand Management,master,15436,15440,360,,,3,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],53.,
54,Sales & Operations Planning,master,15436,15441,824,,,4,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],54.,
55,Days of Supply Based MRP Proposal Management,master,15436,15442,966,,,5,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],55.,
56,Vendor Collaboration,master,15436,15443,968,,,1,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],56.,
57,Scenario Planning,master,15436,15444,834,,,7,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],57.,
58,Integrated Business Planning (IBP),master,15436,15445,969,,,8,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],58.,
59,Characteristics-based Forecasting,master,15436,15446,967,,,9,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],59.,
60,Supply Chain Optimization (SCO),master,15436,15447,964,,,10,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],60.,
61,Supply Network Planning,master,15436,15448,965,,,11,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],61.,
62,"Identify, Prioritize & Aggregate Supply Chain Resources",master,15435,15449,960,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],62.,
63,Balance Supply Chain Resources with SC Requirements,master,15435,15450,961,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],63.,
64,Establish & Communicate Supply Chain Plans,master,15435,15451,962,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],64.,
65,Plan Source,master,15434,15452,955,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],65.,
66,Plan Make,master,15434,15453,956,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],66.,
67,Plan Deliver,master,15434,15454,957,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],67.,
68,Plan Return,master,15434,15455,958,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],68.,
69,MANUFACTURING PLACEHOLDER,master,6385,15512,950,,,48,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],69.,
70,Business Management Support,master,15512,15514,76,,,1,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],70.,
71,Optimization,master,15514,15520,614,,,4,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],71.,
72,Human Resources,master,15514,15522,470,,,1,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],72.,
73,Customer Service,master,15512,15524,338,,,13,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],73.,
74,Service Centers,master,15524,15528,849,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],74.,
75,Demand Planning,master,15512,15530,361,,,4,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],75.,
76,Planning,master,15530,15534,665,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],76.,
77,Finance & Accounting,master,15512,15536,428,,,5,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],77.,
78,Accounting,master,13407,15537,6,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],78.,
79,"Billing, Collections & Bad Debt",master,15536,15540,148,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],79.,
80,Payments,master,15536,15542,646,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],80.,
81,Fleet Management,master,15512,15546,441,,,6,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],81.,
82,Route Optimization & Scheduling,master,15546,15550,818,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],82.,
83,Route Planning,master,15550,15554,819,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],83.,
84,Manufacture/Production,master,15512,15556,551,,,7,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],84.,
85,Engineering,master,15423,15557,407,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],85.,
86,Fabrication,master,15556,15560,21,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],86.,
87,Predictive Maintenance,master,15556,15562,687,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],87.,
88,Quality Management,master,15512,15564,748,,,8,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],88.,
89,R&D,master,15512,15568,755,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],89.,
90,Inspection & Testing,master,15556,15572,495,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],90.,
91,Order Management,master,15556,15574,618,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],91.,
92,Marketing,master,15512,15576,569,,,9,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],92.,
93,Customer Acquisition,master,15576,15582,312,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],93.,
94,Marketing,master,15576,15584,569,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],94.,
95,Materials Handling,master,15512,15586,572,,,10,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],95.,
96,Quality Management,master,15564,15592,748,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],96.,
97,Risk Management,master,15564,15594,808,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],97.,
98,Risk Management,master,15512,15596,808,,,11,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],98.,
99,Health & Safety,master,15596,15602,463,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],99.,
100,Quality Monitoring,master,15596,15604,749,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],100.,
101,Reporting & Submissions,master,15596,15606,791,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],101.,
102,Compliance Management,master,15606,15610,257,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],102.,
103,Sales Management,master,15512,15612,827,,,12,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],103.,
104,Supply Chain Management,master,15512,15616,899,,,3,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],104.,
105,Track,master,15616,15624,913,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],105.,
106,Plan/Design,master,15616,15628,664,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],106.,
107,Distribution Planning,master,15628,15634,377,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],107.,
108,Replenishment,master,15634,15638,786,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],108.,
109,Source/Procure,master,15616,15640,873,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],109.,
110,Supplier Relationship Management,master,15640,15641,898,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],110.,
111,Order Management,master,15640,15649,618,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],111.,
112,Deliver,master,15649,15650,16,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],112.,
113,Make,master,15616,15656,13,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],113.,
114,Planning and Scheduling,master,6385,15657,666,,,111,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],114.,
115,Production,master,15656,15660,728,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],115.,
116,Maintenance,master,15660,15666,546,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],116.,
117,Quality Management,master,15656,15668,748,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],117.,
118,Root Cause Analysis,master,15668,15674,817,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],118.,
119,Waste Management,master,15656,15676,945,,,0,,[],"{""city"": """", ""state"": """", ""address"": """", ""country"": """", ""zipcode"": 0}",[],119.,
