PCF ID,Hierarchy ID,Name,Difference Index,Change details,Metrics available?
10002,1,Develop Vision and Strategy,74,"+20944, c10016",Y
17040,1.1,Define the business concept and long-term vision,13,c10019,N
10017,1.1.1,Assess the external environment,3,"+19945, +16790, +16791",Y
19945,1.1.1.1,Identify competitors,1,NEW,N
10021,1.1.1.2,Analyze and Evaluate competition,0,,N
10022,1.1.1.3,Identify economic trends,0,,N
10023,1.1.1.4,Identify political and regulatory issues,0,,N
10024,1.1.1.5,Assess new technology innovations,0,,N
10025,1.1.1.6,Analyze demographics,0,,N
10026,1.1.1.7,Identify social and cultural changes,0,,N
10027,1.1.1.8,Identify ecological concerns,0,,N
16790,1.1.1.9,Identify intellectual property concerns,1,NEW,N
16791,1.1.1.10,Evaluate IP acquisition options,1,NEW,N
10018,1.1.2,Survey market and determine customer needs and wants,4,"+19946, +19947, -10029, c10028",Y
10028,1.1.2.1,Conduct qualitative/quantitative research and assessments,1,"RENAME, WAS:Conduct qualitative/quantitative assessments",N
19946,1.1.2.2,Capture customer needs and wants,1,NEW,N
19947,1.1.2.3,Assess customer needs and wants,1,NEW,N
10019,1.1.3,Assess the internal environment,5,"+19948, -18082, c10033, c10034, RENAME, WAS:Perform internal analysis",N
10030,1.1.3.1,Analyze organizational characteristics,0,,N
19948,1.1.3.2,Analyze internal operations,1,NEW,N
10031,1.1.3.3,Create baselines for current processes,0,,N
10032,1.1.3.4,Analyze systems and technology,0,,N
10033,1.1.3.5,Analyze financial health,1,"RENAME, WAS:Analyze financial positions",N
10034,1.1.3.6,Identify core competencies,1,"RENAME, WAS:Identify enterprise core competencies",N
10020,1.1.4,Establish strategic vision,1,+19949,N
19949,1.1.4.1,Define the strategic vision,1,NEW,N
10035,1.1.4.2,Align stakeholders around strategic vision,0,,N
10036,1.1.4.3,Communicate strategic vision to stakeholders,0,,N
16792,1.1.5,Conduct organization restructuring opportunities,0,,N
16793,1.1.5.1,Identify restructuring opportunities,0,,N
16794,1.1.5.2,Perform due-diligence,0,,N
16795,1.1.5.3,Analyze deal options,0,,N
16796,1.1.5.3.1,Evaluate acquisition options,0,,N
16797,1.1.5.3.2,Evaluate merger options,0,,N
16798,1.1.5.3.3,Evaluate de-merger options,0,,N
16799,1.1.5.3.4,Evaluate divesture options,0,,N
10015,1.2,Develop business strategy,37,"+19959, +18916, c10038, c10041",N
10037,1.2.1,Develop overall mission statement,0,,N
10044,1.2.1.1,Define current business,0,,N
10045,1.2.1.2,Formulate mission,0,,N
10046,1.2.1.3,Communicate mission,0,,N
10038,1.2.2,Define and evaluate strategic options to achieve the objectives,13,"+16800, +16802, +16803, +16805, +16806, +19950, +19951, +19952, -14190, RENAME, WAS:Evaluate strategic options to achieve the objectives",N
10047,1.2.2.1,Define strategic options,0,,N
18083,1.2.2.1.1,Select partnerships and relationships to support the extended enterprise,0,,N
10048,1.2.2.2,Assess and analyze impact of each option,2,"+13289, +13290",N
13289,1.2.2.2.1,Identify implications for key operating model business elements that require change,1,NEW,N
13290,1.2.2.2.2,Identify implications for key technology aspects,1,NEW,N
16800,1.2.2.3,Develop B2B strategy,2,"+16801, NEW",N
16801,1.2.2.3.1,Develop service as a product strategy,1,NEW,N
16802,1.2.2.4,Develop B2C strategy,1,NEW,N
16803,1.2.2.5,Develop partner/alliance strategy,1,NEW,N
16805,1.2.2.6,Develop merger/demerger/acquisition/exit strategy,1,NEW,N
16806,1.2.2.7,Develop innovation strategy,1,NEW,N
14189,1.2.2.8,Develop sustainability strategy,0,,N
19950,1.2.2.9,Develop global support strategy,1,NEW,N
19951,1.2.2.10,Develop shared services strategy,1,NEW,N
14197,1.2.2.11,Develop lean/continuous improvement strategy,0,,N
19952,1.2.2.12,Develop innovation strategy and framework,1,NEW,N
10039,1.2.3,Select long-term business strategy,0,,N
10040,1.2.4,Coordinate and align functional and process strategies,0,,N
10041,1.2.5,Create organizational design,1,"RENAME, WAS:Create organizational design (structure, governance, reporting, etc.)",N
10049,1.2.5.1,Evaluate breadth and depth of organizational structure,0,,N
10050,1.2.5.2,Perform job-specific roles mapping and value-added analyses,0,,N
