PCF ID,Hierarchy ID,Name,Difference Index,Change details,Metrics available?
10002,1,Develop Vision and Strategy,125,"+20944, c17040, c10015, c10016, RENAME, WAS:Se doter d'une vision et d'une stratégie",Y
17040,1.1,Define the business concept and long-term vision,36,"c10017, c10018, c10019, c10020, c16792, RENAME, WAS:Définir le concept d'affaires et la vision à long terme",N
10017,1.1.1,Assess the external environment,11,"+19945, +16790, +16791, c10021, c10022, c10023, c10024, c10025, c10026, c10027, RENAME, WAS:Évaluer le milieu",Y
19945,1.1.1.1,Identify competitors,1,NEW,N
10021,1.1.1.2,Analyze and Evaluate competition,1,"RENAME, WAS:Analyser et évaluer la concurrence",N
10022,1.1.1.3,Identify economic trends,1,"RENAME, WAS:Cerner les tendances économiques",N
10023,1.1.1.4,Identify political and regulatory issues,1,"RENAME, WAS:Cerner les enjeux politiques et réglementaires",N
10024,1.1.1.5,Assess new technology innovations,1,"RENAME, WAS:Évaluer les innovations technologiques à définir",N
10025,1.1.1.6,Analyze demographics,1,"RENAME, WAS:Analyser la démographie",N
10026,1.1.1.7,Identify social and cultural changes,1,"RENAME, WAS:Relever les changements sociaux et culturels",N
10027,1.1.1.8,Identify ecological concerns,1,"RENAME, WAS:Relever les préoccupations d'ordre environnemental",N
16790,1.1.1.9,Identify intellectual property concerns,1,NEW,N
16791,1.1.1.10,Evaluate IP acquisition options,1,NEW,N
10018,1.1.2,Survey market and determine customer needs and wants,5,"+19946, +19947, -10029, c10028, RENAME, WAS:Étudier le marché et déterminer les besoins et les désirs des clients",Y
10028,1.1.2.1,Conduct qualitative/quantitative research and assessments,1,"RENAME, WAS:Faire une évaluation qualitative/quantitative",N
19946,1.1.2.2,Capture customer needs and wants,1,NEW,N
19947,1.1.2.3,Assess customer needs and wants,1,NEW,N
10019,1.1.3,Assess the internal environment,7,"+19948, c10030, c10031, c10032, c10033, c10034, RENAME, WAS:S'analyser soi-même",N
10030,1.1.3.1,Analyze organizational characteristics,1,"RENAME, WAS:Analyser ses caractéristiques organisationnelles",N
19948,1.1.3.2,Analyze internal operations,1,NEW,N
10031,1.1.3.3,Create baselines for current processes,1,"RENAME, WAS:Baliser les processus actuels",N
10032,1.1.3.4,Analyze systems and technology,1,"RENAME, WAS:Analyser les systèmes et les technologies",N
10033,1.1.3.5,Analyze financial health,1,"RENAME, WAS:Analyser les positions financières",N
10034,1.1.3.6,Identify core competencies,1,"RENAME, WAS:Définir les compétences de base de l'entreprise",N
10020,1.1.4,Establish strategic vision,4,"+19949, c10035, c10036, RENAME, WAS:Établir la vision stratégique",N
19949,1.1.4.1,Define the strategic vision,1,NEW,N
10035,1.1.4.2,Align stakeholders around strategic vision,1,"RENAME, WAS:Rallier les parties prenantes autour de la vision stratégique",N
10036,1.1.4.3,Communicate strategic vision to stakeholders,1,"RENAME, WAS:Communiquer la vision stratégique aux parties prenantes",N
16792,1.1.5,Conduct organization restructuring opportunities,8,"c16793, c16794, c16795, RENAME, WAS:Mener à bien les projets de restructuration",N
16793,1.1.5.1,Identify restructuring opportunities,1,"RENAME, WAS:Cerner les projets de restructuration envisageables",N
16794,1.1.5.2,Perform due-diligence,1,"RENAME, WAS:Exécuter un contrôle diligent",N
16795,1.1.5.3,Analyze deal options,5,"c16796, c16797, c16798, c16799, RENAME, WAS:Analyser les opportunités d'affaires",N
16796,1.1.5.3.1,Evaluate acquisition options,1,"RENAME, WAS:Évaluer les projets d'acquisition",N
16797,1.1.5.3.2,Evaluate merger options,1,"RENAME, WAS:Évaluer les projets de fusion",N
16798,1.1.5.3.3,Evaluate de-merger options,1,"RENAME, WAS:Évaluer les projets de défusion",N
16799,1.1.5.3.4,Evaluate divesture options,1,"RENAME, WAS:Évaluer les projets de vente",N
10015,1.2,Develop business strategy,60,"+19959, +18916, c10037, c10038, c10039, c10040, c10041, c10042, c10043, RENAME, WAS:Mettre au point une stratégie d'affaires",N
10037,1.2.1,Develop overall mission statement,4,"c10044, c10045, c10046, RENAME, WAS:Rédiger l'énoncé de mission général",N
10044,1.2.1.1,Define current business,1,"RENAME, WAS:Définir les activités actuelles",N
10045,1.2.1.2,Formulate mission,1,"RENAME, WAS:Formuler la mission",N
10046,1.2.1.3,Communicate mission,1,"RENAME, WAS:Communiquer la mission",N
10038,1.2.2,Define and evaluate strategic options to achieve the objectives,18,"+16800, +16802, +16803, +16805, +16806, +19950, +19951, +19952, -14190, c10047, c10048, c14189, c14197, RENAME, WAS:Évaluer les stratégies qui permettraient d'atteindre les objectifs",N
10047,1.2.2.1,Define strategic options,2,"+18083, RENAME, WAS:Définir les stratégies possibles",N
18083,1.2.2.1.1,Select partnerships and relationships to support the extended enterprise,1,NEW,N
10048,1.2.2.2,Assess and analyze impact of each option,3,"+13289, +13290, RENAME, WAS:Évaluer et analyser les répercussions de chaque possibilité",N
13289,1.2.2.2.1,Identify implications for key operating model business elements that require change,1,NEW,N
13290,1.2.2.2.2,Identify implications for key technology aspects,1,NEW,N
16800,1.2.2.3,Develop B2B strategy,2,"+16801, NEW",N
16801,1.2.2.3.1,Develop service as a product strategy,1,NEW,N
16802,1.2.2.4,Develop B2C strategy,1,NEW,N
16803,1.2.2.5,Develop partner/alliance strategy,1,NEW,N
16805,1.2.2.6,Develop merger/demerger/acquisition/exit strategy,1,NEW,N
16806,1.2.2.7,Develop innovation strategy,1,NEW,N
14189,1.2.2.8,Develop sustainability strategy,1,"RENAME, WAS:Mettre au point une stratégie de durabilité",N
19950,1.2.2.9,Develop global support strategy,1,NEW,N
19951,1.2.2.10,Develop shared services strategy,1,NEW,N
14197,1.2.2.11,Develop lean/continuous improvement strategy,1,"RENAME, WAS:Élaborer une stratégie de rationalisation/d'amélioration continue",N
19952,1.2.2.12,Develop innovation strategy and framework,1,NEW,N
10039,1.2.3,Select long-term business strategy,1,"RENAME, WAS:Choisir la stratégie d'affaires à long terme",N
10040,1.2.4,Coordinate and align functional and process strategies,1,"RENAME, WAS:Coordonner les stratégies fonctionnelles et procédurales",N
10041,1.2.5,Create organizational design,9,"c10049, c10050, c10051, c10052, c10053, c10054, c10055, c10056, RENAME, WAS:Créer la structure organisationnelle",N
10049,1.2.5.1,Evaluate breadth and depth of organizational structure,1,"RENAME, WAS:Évaluer l'étendue verticale et horizontale de la structure organisationnelle",N
10050,1.2.5.2,Perform job-specific roles mapping and value-added analyses,1,"RENAME, WAS:Dresser la liste des tâches par poste et en analyser la valeur ajoutée",N
10051,1.2.5.3,Develop role activity diagrams to assess hand-off activity,1,"RENAME, WAS:Schématiser les rapports entre les postes pour analyser les transferts",N
10052,1.2.5.4,Perform organization redesign workshops,1,"RENAME, WAS:Tenir des ateliers de restructuration de l'organisation",N
10053,1.2.5.5,Design the relationships between organizational units,1,"RENAME, WAS:Définir les liens entre les unités organisationnelles",N
10054,1.2.5.6,Develop role analysis and activity diagrams for key processes,1,"RENAME, WAS:Analyser les rôles et schématiser les tâches pour chaque processus clé",N
10055,1.2.5.7,Assess organizational implication of feasible alternatives,1,"RENAME, WAS:Évaluer les répercussions pour l'organisation des solutions envisageables",N
10056,1.2.5.8,Migrate to new organization,1,"RENAME, WAS:Adopter la nouvelle structure",N
10042,1.2.6,Develop and set organizational goals,4,"+19953, +19954, +19955, RENAME, WAS:Élaborer et fixer des objectifs organisationnels",N
19953,1.2.6.1,Identify organizational goals,1,NEW,N
19954,1.2.6.2,Establish baseline metrics,1,NEW,N
19955,1.2.6.3,Monitor performance against goals,1,NEW,N
10043,1.2.7,Formulate business unit strategies,4,"+19956, +19957, +19958, RENAME, WAS:Formuler les stratégies des unités d'affaires",N
19956,1.2.7.1,Analyze business unit strategies,1,NEW,N
19957,1.2.7.2,Identify core competency for each business unit,1,NEW,N
19958,1.2.7.3,Refine business unit strategies in support of company strategy,1,NEW,N
19959,1.2.8,Develop customer experience strategy,17,"+19960, +19964, +19971, +19974, NEW",N
19960,1.2.8.1,Assess customer experience,4,"+19961, +19962, +19963, NEW",N
19961,1.2.8.1.1,Identify and review customer touchpoints,1,NEW,N
19962,1.2.8.1.2,Assess customer experience across touchpoints,1,NEW,N
19963,1.2.8.1.3,Perform root cause analysis of problematic customer experiences,1,NEW,N
19964,1.2.8.2,Design customer experience,8,"+16612, +19965, +19966, +19967, +19968, +19969, +19970, NEW",N
16612,1.2.8.2.1,Define and manage personas,1,NEW,N
19965,1.2.8.2.2,Create customer journey maps,1,NEW,N
19966,1.2.8.2.3,Define single view of the customer for the organization,1,NEW,N
19967,1.2.8.2.4,Define a vision for the customer experience,1,NEW,N
19968,1.2.8.2.5,Validate with customers,1,NEW,N
19969,1.2.8.2.6,Align experience with brand values and business strategies,1,NEW,N
19970,1.2.8.2.7,Develop content strategy,1,NEW,N
19971,1.2.8.3,Design customer experience support structure,3,"+19972, +19973, NEW",N
