PCF ID,Hierarchy ID,Name,Difference Index,Change details,Metrics available?
10002,1,Develop Vision and Strategy,84,+20944,Y
17040,1.1,Define the city's comprehensive plan,18,"c10018, c10019, c16792",N
10017,1.1.1,Identify external influencers and constraints,5,"+19945, +16790, +16791, c10022, c10023",Y
19945,1.1.1.1,Identify competitors,1,NEW,N
10022,1.1.1.2,Identify economic trends,1,"RENAME, WAS:Identify external economic trends",N
10023,1.1.1.3,Identify political and regulatory issues,1,"RENAME, WAS:Identify political and regulatory issues, mandates and limitations",N
10024,1.1.1.4,Identify new technology innovations,0,,N
10025,1.1.1.5,Identify constituent demographics,0,,N
10026,1.1.1.6,Identify social and cultural changes,0,,N
10027,1.1.1.7,Identify ecological concerns,0,,N
16790,1.1.1.8,Identify intellectual property concerns,1,NEW,N
16791,1.1.1.9,Evaluate IP acquisition options,1,NEW,N
10018,1.1.2,Survey constituent needs and wants,6,"+19946, +19947, -18367, -10029, c10028, RENAME, WAS:Evaluate constituent needs",Y
10028,1.1.2.1,Conduct qualitative/quantitative constituent assessments,1,"RENAME, WAS:Conduct qualitative constituent assessments",N
19946,1.1.2.2,Capture constituent needs and wants,1,NEW,N
19947,1.1.2.3,Assess constituent needs and wants,1,NEW,N
10019,1.1.3,Assess the city structure,4,"+19948, c10030, c10033, RENAME, WAS:Perform analysis of the city structure",N
10030,1.1.3.1,Analyze organizational characteristics,1,"RENAME, WAS:Analyze organizational culture",N
19948,1.1.3.2,Analyze internal operations,1,NEW,N
10031,1.1.3.3,Create baselines for current processes,0,,N
10032,1.1.3.4,Analyze systems and technology,0,,N
10033,1.1.3.5,Analyze financial health,1,"RENAME, WAS:Analyze financial positions",N
10034,1.1.3.6,Identify the city's core competencies,0,,N
10020,1.1.4,Establish strategic vision,1,+19949,N
19949,1.1.4.1,Define the strategic vision,1,NEW,N
10035,1.1.4.2,Align constituents around a strategic vision,0,,N
10036,1.1.4.3,Communicate strategic vision to constituents,0,,N
16792,1.1.5,Conduct city restructuring opportunities,2,"c16795, RENAME, WAS:Evaluate city restructuring opportunities",N
16793,1.1.5.1,Identify city restructuring opportunities,0,,N
16794,1.1.5.2,Perform due-diligence,0,,N
16795,1.1.5.3,Analyze structural options,1,"RENAME, WAS:Evaluate structural options",N
18368,1.1.5.3.1,Evaluate service profile,0,,N
16797,1.1.5.3.2,Evaluate annexation options,0,,N
16799,1.1.5.3.3,Evaluate divesture options,0,,N
10015,1.2,Develop city strategy,40,"+19959, +19974, c10041",N
10037,1.2.1,Develop overall mission statement,1,c10045,N
10044,1.2.1.1,Define current city functions,0,,N
10045,1.2.1.2,Formulate city mission statement,1,"RENAME, WAS:Define city mission statement",N
10046,1.2.1.3,Communicate city mission statement,0,,N
10038,1.2.2,Evaluate strategic options to achieve the objectives,13,"+16800, +16802, +16803, +16805, +16806, +19950, +19951, +19952, -14190",N
10047,1.2.2.1,Define strategic options,1,+18083,N
18083,1.2.2.1.1,Select partnerships and relationships to support the extended enterprise,1,NEW,N
10048,1.2.2.2,Assess and analyze impact of each option,2,"+13289, +13290",N
13289,1.2.2.2.1,Identify implications for key operating model business elements that require change,1,NEW,N
13290,1.2.2.2.2,Identify implications for key technology aspects,1,NEW,N
16800,1.2.2.3,Develop B2B strategy,2,"+16801, NEW",N
16801,1.2.2.3.1,Develop service as a product strategy,1,NEW,N
16802,1.2.2.4,Develop B2C strategy,1,NEW,N
16803,1.2.2.5,Develop partner/alliance strategy,1,NEW,N
16805,1.2.2.6,Develop merger/demerger/acquisition/exit strategy,1,NEW,N
16806,1.2.2.7,Develop innovation strategy,1,NEW,N
14189,1.2.2.8,Develop sustainability strategy,0,,N
19950,1.2.2.9,Develop global support strategy,1,NEW,N
19951,1.2.2.10,Develop shared services strategy,1,NEW,N
14197,1.2.2.11,Develop lean/continuous improvement strategy,0,,N
19952,1.2.2.12,Develop innovation strategy and framework,1,NEW,N
18369,1.2.2.13,Develop resiliency strategy,0,,N
18370,1.2.2.14,Develop safety strategy,0,,N
18371,1.2.2.15,Develop economic development strategy,0,,N
10039,1.2.3,Prioritize and select city strategies,0,,N
18372,1.2.4,Establish the legal context for the city,1,c18373,N
18373,1.2.4.1,Analyze statutory limitations and obligations,1,"RENAME, WAS:Understand statutory limitations and obligations",N
18374,1.2.4.2,Review and apply national or regional strategic best practices,0,,N
18375,1.2.4.3,Apply inter-city agreements,0,,N
18376,1.2.4.4,Define city specific policies,0,,N
10040,1.2.5,Coordinate and align functional and process strategies,0,,N
10041,1.2.6,Create organizational design,1,"RENAME, WAS:Create organizational design (structure, governance, reporting, etc.)",N
10049,1.2.6.1,Evaluate breadth and depth of organizational structure,0,,N
10050,1.2.6.2,Perform job-specific roles mapping and value-added analyses,0,,N
10051,1.2.6.3,Develop role activity diagrams to assess hand-off activity,0,,N
10052,1.2.6.4,Perform organization redesign workshops,0,,N
10053,1.2.6.5,Design the relationships between organizational units,0,,N
10054,1.2.6.6,Develop role analysis and activity diagrams for key processes,0,,N
10055,1.2.6.7,Assess organizational implication of feasible alternatives,0,,N
10056,1.2.6.8,Migrate to new organization,0,,N
10042,1.2.7,Develop and set city goals,3,"+19953, +19954, +19955",N
19953,1.2.7.1,Identify organizational goals,1,NEW,N
19954,1.2.7.2,Establish baseline metrics,1,NEW,N
19955,1.2.7.3,Monitor performance against goals,1,NEW,N
10043,1.2.8,Formulate agency/department strategies,3,"+19956, +19957, +19958",N
19956,1.2.8.1,Analyze business unit strategies,1,NEW,N
19957,1.2.8.2,Identify core competency for each business unit,1,NEW,N
19958,1.2.8.3,Refine business unit strategies in support of company strategy,1,NEW,N
19959,1.2.9,Develop customer experience strategy,16,"+19960, +19964, +19971, NEW",N
19960,1.2.9.1,Assess customer experience,4,"+19961, +19962, +19963, NEW",N
19961,1.2.9.1.1,Identify and review customer touchpoints,1,NEW,N
19962,1.2.9.1.2,Assess customer experience across touchpoints,1,NEW,N
19963,1.2.9.1.3,Perform root cause analysis of problematic customer experiences,1,NEW,N
19964,1.2.9.2,Design customer experience,8,"+16612, +19965, +19966, +19967, +19968, +19969, +19970, NEW",N
16612,1.2.9.2.1,Define and manage personas,1,NEW,N
19965,1.2.9.2.2,Create customer journey maps,1,NEW,N
19966,1.2.9.2.3,Define single view of the customer for the organization,1,NEW,N
19967,1.2.9.2.4,Define a vision for the customer experience,1,NEW,N
19968,1.2.9.2.5,Validate with customers,1,NEW,N
19969,1.2.9.2.6,Align experience with brand values and business strategies,1,NEW,N
19970,1.2.9.2.7,Develop content strategy,1,NEW,N
19971,1.2.9.3,Design customer experience support structure,3,"+19972, +19973, NEW",N
19972,1.2.9.3.1,Identify required capabilities,1,NEW,N
19973,1.2.9.3.2,Identify impact on functional processes,1,NEW,N
19974,1.2.10,Develop customer experience roadmap to develop and implement defined capabilities,2,"+18916, NEW",N
18916,1.2.10.1,Communicate strategies internally and externally,1,NEW,N
10016,1.3,Set city agenda,14,"+19507, c10057, c10058, c10059",N
10057,1.3.1,Develop strategic initiatives,4,"+19975, +19976, +19977, RENAME, WAS:Develop strategic priorities/initiatives",N
19975,1.3.1.1,Identify strategic priorities,1,NEW,N
19976,1.3.1.2,Develop strategic initiatives based on business/customer value,1,NEW,N
19977,1.3.1.3,Review with stakeholders,1,NEW,N
10058,1.3.2,Evaluate strategic initiatives,3,"+19978, +19979, RENAME, WAS:Evaluate strategic priorities/initiatives",N
19978,1.3.2.1,Determine business value for each strategic priority,1,NEW,N
19979,1.3.2.2,Determine the customer value for each strategic priority,1,NEW,N
10059,1.3.3,Select strategic initiatives,3,"+19980, +19981, RENAME, WAS:Select strategic priorities/initiatives",N
19980,1.3.3.1,Prioritize strategic initiatives,1,NEW,N
19981,1.3.3.2,Communicate strategic initiatives to business units and stakeholders,1,NEW,N
10060,1.3.4,Establish high-level measures,3,"+19982, +19983, +19984",N
19982,1.3.4.1,Identify business value drivers,1,NEW,N
19983,1.3.4.2,Establish baselines for business value drivers,1,NEW,N
19984,1.3.4.3,Monitor performance against baselines,1,NEW,N
19507,1.3.5,Execute strategic initiatives,1,NEW,N
20944,1.4,Develop and maintain business models,12,"+20945, +20950, +20955, NEW",N
20945,1.4.1,Develop business models,5,"+20946, +20947, +20948, +20949, NEW",N
20946,1.4.1.1,Assemble business model information,1,NEW,N
20947,1.4.1.2,Secure appropriate approvals,1,NEW,N
20948,1.4.1.3,Identify integration points with existing models,1,NEW,N
20949,1.4.1.4,Adopt the business model,1,NEW,N
20950,1.4.2,Maintain business models,5,"+20951, +20952, +20953, +20954, NEW",N
20951,1.4.2.1,Establish business model maintenance parameters,1,NEW,N
20952,1.4.2.2,Accept business model feedback parameters,1,NEW,N
20953,1.4.2.3,Prioritize and manage incoming feedback,1,NEW,N
20954,1.4.2.4,Update existing models,1,NEW,N
20955,1.4.3,Establish business model governance,1,NEW,N
10003,2,Develop and Manage City Services,74,"+19696, +19698",Y
19696,2.1,Govern and manage product/service development program,31,"+19985, +11740, NEW",Y
10061,2.1.1,Manage city service portfolio,10,"+16824, +11423, +19646, +11424, +11425, +19647, +11426, +11427, +11428",Y
10063,2.1.1.1,Evaluate performance of existing city services,0,,Y
18377,2.1.1.1.1,Measure performance of city services against the comprehensive plan,0,,N
18378,2.1.1.1.2,Measure the social impact of city services,0,,N
18379,2.1.1.1.3,Evaluate performance of city services against benchmark communities or standards,0,,N
10064,2.1.1.2,Define city service requirements,0,,Y
18380,2.1.1.2.1,Perform city service gap analysis,0,,N
10069,2.1.1.2.2,Identify potential new city services,0,,N
18381,2.1.1.2.3,Identify existing city services that are obsolete or provide a poor return on investment,0,,N
