PCF ID,Hierarchy ID,Name,Metrics available?
10002,1,Develop Vision and Strategy,Y
10014,1.1,Define the business concept and long-term vision,N
10017,1.1.1,Assess the external environment,Y
10021,1.1.1.1,Analyze and evaluate competition,N
10022,1.1.1.2,Identify economic trends,N
10023,1.1.1.3,Identify political and regulatory issues,N
10024,1.1.1.4,Assess new technology innovations,N
10025,1.1.1.5,Analyze demographics,N
10026,1.1.1.6,Identify social and cultural changes,N
10027,1.1.1.7,Identify ecological concerns,N
10018,1.1.2,Survey market and determine customer needs and wants,N
10028,1.1.2.1,Conduct qualitative/quantitative assessments,N
10029,1.1.2.2,Capture and assess customer needs,N
10019,1.1.3,Perform internal analysis,N
10030,1.1.3.1,Analyze organizational characteristics,N
10031,1.1.3.2,Create baselines for current processes,N
10032,1.1.3.3,Analyze systems and technology,N
10033,1.1.3.4,Analyze financial positions,N
10034,1.1.3.5,Identify enterprise core competencies,N
10020,1.1.4,Establish strategic vision,N
10035,1.1.4.1,Align stakeholders around strategic vision,N
10036,1.1.4.2,Communicate strategic vision to stakeholders,N
10015,1.2,Develop business strategy,N
10037,1.2.1,Develop overall mission statement,N
10044,1.2.1.1,Define current business,N
10045,1.2.1.2,Formulate mission,N
10046,1.2.1.3,Communicate mission,N
10038,1.2.2,Evaluate strategic options to achieve the objectives,N
10047,1.2.2.1,Define strategic options,N
10048,1.2.2.2,Assess and analyze impact of each option,N
10039,1.2.3,Select long-term business strategy,N
13285,1.2.3.1,"Define strategic mission, objectives and goals to reflect the revised business design",N
13286,1.2.3.2,Define key components for the target vision and business design,N
13287,1.2.3.3,Identify interdependencies in business,N
10041,1.2.4,"Create organizational design (structure, governance, reporting, etc.)",N
10049,1.2.4.1,Evaluate breadth and depth of organizational structure,N
10050,1.2.4.2,Perform job specific roles mapping and value-add analyses,N
10051,1.2.4.3,Develop role activity diagrams to assess hand-off activity,N
10052,1.2.4.4,Perform organization redesign workshops,N
10053,1.2.4.5,Design the relationships between organizational units,N
10054,1.2.4.6,Develop role analysis and activity diagrams for key processes,N
10055,1.2.4.7,Assess organizational implication of feasible alternatives,N
10056,1.2.4.8,Migrate to new organization,N
10042,1.2.5,Develop and set organizational goals,N
10043,1.2.6,Formulate business unit strategies,N
13288,1.2.7,Define operating model,N
13289,1.2.7.1,Identify implications on key operating model business elements that require change,N
13290,1.2.7.2,Identify implications on key technology aspects,N
13291,1.2.7.3,Design the operating model business elements,N
13292,1.2.7.4,Design technology models,N
10016,1.3,Manage strategic initiatives,N
10057,1.3.1,Develop strategic initiatives,N
10058,1.3.2,Evaluate strategic initiatives,N
10059,1.3.3,Select strategic initiatives,N
10060,1.3.4,Establish high-level measures,N
13293,1.4,Perform strategic planning,N
13298,1.4.1,Define strategy planning framework and policies,N
13299,1.4.2,Develop and manage strategy business models,N
13302,1.4.2.1,Develop strategy business models,N
13303,1.4.2.2,Value business model,N
13300,1.4.3,Manage strategic planning,N
13304,1.4.3.1,Manage strategic planning reporting,N
13305,1.4.3.2,Develop capital investment targets and plans,N
13306,1.4.3.3,Develop financial statement targets and plans,N
13307,1.4.3.4,Develop strategic portfolio targets and plans,N
13308,1.4.3.5,Develop free cash flow targets and plans,N
13301,1.4.4,Develop and manage strategic and operational plans,N
13309,1.4.4.1,Develop organization plans,N
13310,1.4.4.2,Develop sales plan,N
13311,1.4.4.3,Develop resource plan,N
13312,1.4.4.4,Develop profitability plan,N
13313,1.4.4.5,Develop enterprise infrastructure plan,N
13294,1.5,Perform strategic management,N
13314,1.5.1,Define and manage enterprise strategy,N
13316,1.5.1.1,Assess current strategy,N
13315,1.5.2,Transform strategy into measurable goals,N
13317,1.5.2.1,Identify key value drivers for strategy,N
13318,1.5.2.2,Map strategy to key measures of performance drivers,N
13319,1.5.2.3,Assess and prioritize key performance drivers,N
13320,1.5.2.4,"Define, review and agree on business goals",N
13295,1.6,Develop business,N
13321,1.6.1,"Develop, manage and realize business goals",N
13322,1.6.1.1,Identify enterprise risk indicators,N
13323,1.6.1.2,Track and manage enterprise risks,N
13324,1.6.1.3,Agree on Key Performance Indicators (KPIs) and identify measures to cascade measure through organization,N
13325,1.6.1.4,Define potential KPI's for key performance drivers,N
13326,1.6.1.5,Plan and launch business goals,N
13327,1.6.1.6,Communicate business goals,N
13296,1.7,Manage enterprise architecture,N
13328,1.7.1,Manage product enterprise architecture,N
13329,1.7.2,Manage business functional enterprise architecture,N
13297,1.8,Manage group enterprise,N
13330,1.8.1,Plan and manage co-ordinate across business units/organization,N
10003,2,Develop and Manage Products and Services,Y
10061,2.1,Manage product and service portfolio,Y
10063,2.1.1,Evaluate performance of existing products/services against market opportunities,Y
10064,2.1.2,Define product/service development requirements,Y
10068,2.1.2.1,Identify potential improvements to existing products and services,N
10069,2.1.2.2,Identify potential new products and services,N
13331,2.1.2.3,Gather and analyze new service ideas,N
13332,2.1.2.4,Gather and analyze service information,N
13333,2.1.2.5,Develop new service business proposal,N
13334,2.1.2.6,Gather and analyze new resource ideas,N
13335,2.1.2.7,Develop new resource business proposal,N
13336,2.1.2.8,Establish service strategy and goals,N
