Cohort,Company,Fiscal Year,Quarter,EBIT,Invested Capital,Risk Free Rate (AveraCompany2 Annual 3-Month T Bill),Capital CharCompany2,EBITDA,Return Volatility,Company Value,Company Value Volatility,Level of Protection,Risk Capital,Cost of Equity,Risk Premium,Risk CharCompany2,Risk Adjusted Profit,RAROC
Industry1,Company11,2008,1,1178,29149,0.021044262,613.4192016,1374,0.203128518,42244.69496,8581.102269,2.771609,23783.46028,0.08973729,0.068693028,1633.757899,-1069.177101,-0.036679718
Industry1,Company11,2008,2,1363,29461,0.016501563,486.1525328,1565,0.203128518,40978.54978,8323.912075,2.771609,23070.62962,0.092953024,0.076451461,1763.783343,-886.9358758,-0.030105423
Industry1,Company11,2008,3,1242,29357,0.015203125,446.3181406,1456,0.203128518,46359.40305,9416.916824,2.771609,26100.01142,0.090885232,0.075682107,1975.303868,-1179.622008,-0.040181967
Industry1,Company11,2008,4,1348,33439,0.003276271,109.5552322,1581,0.203128518,34810.43688,7070.992446,2.771609,19598.0263,0.102279546,0.099003275,1940.268781,-701.8240129,-0.020988188
Industry1,Company11,2009,1,1057,34533,0.002122951,73.31186066,1259,0.203128518,29140.72287,5919.311842,2.771609,16406.01798,0.107858125,0.105735175,1734.693176,-751.0050363,-0.02174746
Industry1,Company11,2009,2,1078,34788,0.001712698,59.58135238,1286,0.203128518,32254.23399,6551.75474,2.771609,18158.9024,0.103348113,0.101635415,1845.587576,-827.1689285,-0.023777421
Industry1,Company11,2009,3,1068,35742,0.0016,57.1872,1283,0.203128518,30755.16279,6247.25063,2.771609,17314.93607,0.100373081,0.098773081,1710.249578,-699.4367782,-0.019569044
Industry1,Company11,2009,4,1244,35111,0.000604839,21.23649194,1473,0.203128518,30917.25,6280.175164,2.771609,17406.19001,0.094076147,0.093471309,1626.979357,-404.2158486,-0.011512513
Industry1,Company11,2010,1,938,36287,0.001098361,39.85621311,1137,0.203128518,33017.86478,6706.869931,2.771609,18588.82106,0.09301119,0.09191283,1708.551144,-810.4073575,-0.02233327
Industry1,Company11,2010,2,1115,36239,0.001482813,53.73564219,1316,0.203128518,29712.98326,6035.554247,2.771609,16728.19647,0.100206009,0.098723196,1651.46102,-590.1966625,-0.016286229
Industry1,Company11,2010,3,877,35551,0.001548438,55.04850156,1090,0.203128518,27932.19018,5673.824389,2.771609,15725.62274,0.095898697,0.094350259,1483.71658,-661.765082,-0.018614528
Industry1,Company11,2010,4,1115,35113,0.001395161,48.98829839,1554,0.203128518,26430.86,5368.861414,2.771609,14880.38461,0.093841841,0.09244668,1375.642153,-309.6304515,-0.008818114
Industry1,Company11,2011,1,864,36677,0.001267742,46.49697097,1110,0.203128518,29074.43494,5905.846872,2.771609,16368.69834,0.083605095,0.082337353,1347.755297,-530.2522675,-0.014457351
Industry1,Company11,2011,2,993,35718,0.000452381,16.15814286,1239,0.203128518,28090.30446,5705.941906,2.771609,15814.63994,0.08322355,0.082771169,1308.996238,-332.1543805,-0.009299356
Industry1,Company11,2011,3,1041,36187,0.00025,9.04675,1288,0.203128518,25797.19612,5240.146209,2.771609,14523.63639,0.091605103,0.091355103,1326.808296,-294.8550458,-0.008148093
Industry1,Company11,2011,4,1082,37908,0.000147541,5.592983607,1351,0.203128518,28843.9,5859.018652,2.771609,16238.90883,0.081426361,0.08127882,1319.879344,-243.4723279,-0.006422716
Industry1,Company11,2012,1,1044,38340,0.000706452,27.08535484,1275,0.203128518,32096.64311,6519.743539,2.771609,18070.17987,0.081537541,0.080831089,1460.632316,-443.7176705,-0.011573231
Industry1,Company11,2012,2,1192,38386,0.000882812,33.88764063,1425,0.203128518,30379.92864,6171.029874,2.771609,17103.68194,0.081823996,0.080941184,1384.392261,-226.2799016,-0.005894855
Industry1,Company11,2012,3,1137,39321,0.001015873,39.94514286,1384,0.203128518,32088.59487,6518.108711,2.771609,18065.64877,0.079138307,0.078122434,1411.33245,-314.2775928,-0.007992614
Industry1,Company11,2012,4,1061,38657,0.000896721,34.66455574,1338,0.203128518,34035.09,6913.497382,2.771609,19161.51157,0.082156293,0.081259572,1557.056228,-530.7207841,-0.01372897
Industry1,Company11,2013,1,1119,39580,0.000863333,34.17073333,1351,0.203128518,34164.52168,6939.788647,2.771609,19234.38067,0.08016889,0.079305557,1525.393275,-440.5640087,-0.011130975
Industry1,Company11,2013,2,1298,38947,0.000515625,20.08204688,1538,0.203128518,38103.78255,7739.964869,2.771609,21452.15629,0.085281053,0.084765428,1818.401213,-540.4832598,-0.013877404
Industry1,Company11,2013,3,1254,38907,0.000321875,12.52319063,1486,0.203128518,44891.50873,9118.745627,2.771609,25273.59745,0.081250133,0.080928258,2045.348209,-803.8713999,-0.020661357
