Country,Industry Name,Net Margin,EBIT/Sales,EBITDA/Sales,EBITDAR&D/Sales,EBITDASG&A/Sales,Gross Margin,year,Lease Expense/Sales,Number of Firms,After-tax Lease & R&D adj Margin,After-tax Lease Adjusted Margin,After-tax Operating Margin (EBIT(1-t),After-tax Unadjusted Operating Margin,COGS/Sales,Number of firms,Pre-tax Lease & R&D adj Margin,Pre-tax Lease adjusted Margin,Pre-tax Operating Margin,Pre-tax Unadjusted Operating Margin,"Pre-tax, Pre-stock compensation Operating Margin",R&D/Sales,SG&A/ Sales,Stock-Based Compensation/Sales
US,Advertising,0.044954208,,,,0.189197893,,1998,,25,,,0.083709387,,,,,,,,,,,
US,Advertising,0.049324479,0.162492433,0.20798294,,0.189197893,,1999,,28,,,0.094773342,,,,,,,,,,,
US,Advertising,0.037383627,0.15614861,0.143213194,,0.50634849,,2000,,30,,,0.093987728,,,,,,,,,,,
US,Advertising,-1.58E-05,0.154322848,0.208692413,,0.492642543,,2001,,36,,,0.081981897,,,,,,,,,,,
US,Advertising,0.011289653,0.162464271,0.215859303,,0.488948243,,2002,,38,,,0.091420506,,,,,,,,,,,
US,Advertising,0.024012601,0.106615329,0.15195106,,0.493971035,,2003,,34,,,0.06320402,,,,,,,,,,,
US,Advertising,-0.003654763,0.149032504,0.187973007,,0.464839615,,2004,,35,,,0.084912891,,,,,,,,,,,
US,Advertising,0.019303511,0.108625864,0.146021941,,0.538609132,,2005,,34,,,0.074085985,,,,,,,,,,,
US,Advertising,0.04568872,0.153110932,0.197828936,,0.562639132,,2006,,36,,,0.100676416,,,,,,,,,,,
US,Advertising,0.04170485,0.11883173,0.167460484,,0.546156813,,2007,,39,,,0.08235956,,,,,,,,,,,
US,Advertising,0.045339259,0.132590525,0.179586956,,0.550202263,,2008,,29,,,0.088000344,,,,,,,,,,,
US,Advertising,-0.075349999,0.111775863,0.159728451,,0.528271273,,2009,,36,,,0.083293723,,,,,,,,,,,
US,Advertising,0.023076793,0.083810125,0.128662253,,0.493077958,,2010,,27,,,0.058314813,,,,,,,,,,,
US,Advertising,0.036302614,0.102702956,0.144123726,,0.499842485,,2011,,31,,,0.074391199,,,,,,,,,,,
US,Advertising,0.035213418,0.117670949,0.157505741,,0.50056375,,2012,,32,,,0.081992837,,,,,,,,,,,
US,Advertising,0.039017661,,0.155196053,,0.352092375,,2013,,65,,,,,,,,,,,,,,
US,Advertising,0.03984483,,0.150831604,,0.347657554,,2014,,52,,,,,,,,,,,,,,
US,Advertising,0.043238662,,0.148050638,,0.330346354,,2015,,44,,,,,,,,,,,,,,
US,Advertising,0.060354282,,0.153875529,,0.328023174,,2016,,41,,,,,,,,,,,,,,
US,Advertising,0.054478099,,0.159733137,,0.283138944,,2017,,40,,,,,,,,,,,,,,
US,Aerospace/Defense,0.040171657,,,,0.265128827,,1998,,48,,,0.21040886,,,,,,,,,,,
US,Aerospace/Defense,0.039139087,0.106753097,0.139392373,,,,1999,,48,,,0.071026617,,,,,,,,,,,
US,Aerospace/Defense,0.040777205,0.111870654,0.104775854,,0.169346337,,2000,,39,,,0.071562404,,,,,,,,,,,
US,Aerospace/Defense,0.021075998,0.1197739,0.152170616,,0.219535645,,2001,,65,,,0.077164131,,,,,,,,,,,
US,Aerospace/Defense,0.014668231,0.117567873,0.148525973,,0.203524326,,2002,,77,,,0.077526229,,,,,,,,,,,
US,Aerospace/Defense,0.031824987,0.078541715,0.106995435,,0.172935629,,2003,,72,,,0.055798911,,,,,,,,,,,
US,Aerospace/Defense,0.00821788,0.08988445,0.116590826,,0.187368761,,2004,,67,,,0.06297317,,,,,,,,,,,
US,Aerospace/Defense,0.032869985,0.068022723,0.093825335,,0.165563344,,2005,,70,,,0.04968751,,,,,,,,,,,
US,Aerospace/Defense,0.056093213,0.098846354,0.12400202,,0.2040416,,2006,,73,,,0.06896749,,,,,,,,,,,
US,Aerospace/Defense,0.066906253,0.086221995,0.109569496,,0.187294897,,2007,,68,,,0.059215696,,,,,,,,,,,
US,Aerospace/Defense,0.071468704,0.101304085,0.123674206,,0.199618259,,2008,,65,,,0.068394709,,,,,,,,,,,
US,Aerospace/Defense,0.053442713,0.100889786,0.123166649,,0.200573787,,2009,,67,,,0.069619856,,,,,,,,,,,
US,Aerospace/Defense,0.055367129,0.086579842,0.109823266,,0.191194495,,2010,,62,,,0.061345446,,,,,,,,,,,
US,Aerospace/Defense,0.067809023,0.101565307,0.125327646,,0.208108955,,2011,,64,,,0.073130395,,,,,,,,,,,
US,Aerospace/Defense,0.066628442,0.102366771,0.126281296,,0.207241138,,2012,,66,,,0.071499432,,,,,,,,,,,
US,Aerospace/Defense,0.066364836,,0.12782676,,0.203018181,,2013,,95,,,,,,,,,,,,,,
US,Aerospace/Defense,0.076429806,,0.136147434,,0.21127075,,2014,,93,,,,,,,,,,,,,,
US,Aerospace/Defense,0.076011706,,0.143829287,,0.217895726,,2015,,92,,,,,,,,,,,,,,
US,Aerospace/Defense,0.071473423,,0.135420038,,0.202385899,,2016,,96,,,,,,,,,,,,,,
US,Aerospace/Defense,0.072186339,,0.134714786,,0.2055133,,2017,,87,,,,,,,,,,,,,,
US,Air Transport,0.05350959,,,,0.192246532,,1998,,44,,,0.095277862,,,,,,,,,,,
US,Air Transport,0.049704311,0.141955519,0.195287385,,,,1999,,42,,,0.09159014,,,,,,,,,,,
US,Air Transport,0.027853867,0.111325928,0.128705696,,0.249284718,,2000,,36,,,0.075056797,,,,,,,,,,,
US,Air Transport,-0.00371143,0.122440223,0.179055813,,0.287497629,,2001,,45,,,0.07942107,,,,,,,,,,,
US,Air Transport,-0.004889905,0.061151027,0.121364352,,0.216522675,,2002,,43,,,0.048694664,,,,,,,,,,,
US,Air Transport,-0.013363803,0.030872935,0.094743397,,0.19148098,,2003,,43,,,0.011177551,,,,,,,,,,,
US,Air Transport,0.005038367,0.123251942,0.181451917,,0.270494796,,2004,,46,,,0.068442761,,,,,,,,,,,
US,Air Transport,0.010401274,0.054534142,0.110336762,,0.207570939,,2005,,45,,,0.032560357,,,,,,,,,,,
US,Air Transport,0.025878895,0.125668066,0.174748744,,0.283173836,,2006,,56,,,0.093092929,,,,,,,,,,,
US,Air Transport,0.059008367,0.094331076,0.138825733,,0.230608854,,2007,,48,,,0.070123254,,,,,,,,,,,
US,Air Transport,0.003316777,0.09033338,0.135343597,,0.219234677,,2008,,43,,,0.074489743,,,,,,,,,,,
US,Air Transport,-2.38E-05,0.055565271,0.101528991,,0.195151936,,2009,,44,,,0.03504585,,,,,,,,,,,
US,Air Transport,0.037307917,0.051981442,0.105508636,,0.214157856,,2010,,39,,,0.035055563,,,,,,,,,,,
US,Air Transport,0.037550566,0.087822065,0.137567852,,0.265358326,,2011,,36,,,0.068636512,,,,,,,,,,,
US,Air Transport,0.04269902,0.083823677,0.130155948,,0.273079654,,2012,,36,,,0.065555927,,,,,,,,,,,
US,Air Transport,0.028192701,,0.09397025,,0.13409308,,2013,,25,,,,,,,,,,,,,,
US,Air Transport,0.09315536,,0.106262287,,0.145663535,,2014,,22,,,,,,,,,,,,,,
US,Air Transport,0.108582373,,0.151277969,,0.190654118,,2015,,20,,,,,,,,,,,,,,
US,Air Transport,0.107905921,,0.218741275,,0.25505601,,2016,,18,,,,,,,,,,,,,,
US,Air Transport,0.070278009,,0.206420773,,0.244047134,,2017,,17,,,,,,,,,,,,,,
US,Alternate Energy,0.089617131,0.38115325,0.490518562,,,,1999,,5,,,0.266063454,,,,,,,,,,,
US,Aluminum,0.045064033,,,,0.200110714,,1998,,9,,,0.103300005,,,,,,,,,,,
US,Aluminum,0.043009948,0.145352791,0.197071513,,,,1999,,9,,,0.101824016,,,,,,,,,,,
US,Apparel,0.042600344,,,,0.138372569,,1998,,61,,,0.070482916,,,,,,,,,,,
US,Apparel,0.053775659,0.127423528,0.154803739,,,,1999,,60,,,0.083937732,,,,,,,,,,,
US,Apparel,0.051454859,0.122112804,0.102942975,,0.323374464,,2000,,41,,,0.078012707,,,,,,,,,,,
US,Apparel,0.022876844,0.125945337,0.15443677,,0.402850314,,2001,,54,,,0.080633322,,,,,,,,,,,
US,Apparel,0.011972075,0.109045065,0.137555271,,0.380444913,,2002,,58,,,0.068047408,,,,,,,,,,,
US,Apparel,0.035071577,0.100093903,0.12588601,,0.38803901,,2003,,59,,,0.065454243,,,,,,,,,,,
US,Apparel,0.025432412,0.114327128,0.136378377,,0.3739941,,2004,,65,,,0.072324989,,,,,,,,,,,
US,Apparel,0.033431879,0.093035682,0.118263703,,0.399514265,,2005,,60,,,0.060882086,,,,,,,,,,,
US,Apparel,0.053848232,0.119819308,0.142786743,,0.433096536,,2006,,64,,,0.077980099,,,,,,,,,,,
US,Apparel,0.059677646,0.103720793,0.127862273,,0.425527661,,2007,,56,,,0.069190142,,,,,,,,,,,
US,Apparel,0.053793614,0.102591574,0.129478865,,0.426480346,,2008,,52,,,0.071295371,,,,,,,,,,,
US,Apparel,0.036715724,0.096867094,0.124849102,,0.431673384,,2009,,56,,,0.069707112,,,,,,,,,,,
US,Apparel,0.06494446,0.096995109,0.127025126,,0.446737183,,2010,,48,,,0.064755756,,,,,,,,,,,
US,Apparel,0.067174328,0.109690512,0.137286206,,0.45706743,,2011,,57,,,0.075973048,,,,,,,,,,,
US,Apparel,0.065860423,0.103689906,0.12980743,,0.46270135,,2012,,54,,,0.073273688,,,,,,,,,,,
US,Apparel,0.067171412,,0.142263002,,0.495279358,,2013,,70,,,,,,,,,,,,,,
US,Apparel,0.074643405,,0.147657303,,0.511474643,,2014,,64,,,,,,,,,,,,,,
US,Apparel,0.062739249,,0.146124223,,0.514008626,,2015,,63,,,,,,,,,,,,,,
US,Apparel,0.062863379,,0.146292583,,0.524517063,,2016,,58,,,,,,,,,,,,,,
US,Apparel,0.034269129,,0.141310253,,0.527844428,,2017,,51,,,,,,,,,,,,,,
US,Auto & Truck,0.039601194,,,,0.217359635,,1998,,20,,,0.110111794,,,,,,,,,,,
